cty,county_name,cz,cz_name,statename,state_fips,stateabbrv
51678,Lexington City,17300,Staunton,Virginia,51,VA
51680,Lynchburg City,2300,Lynchburg,Virginia,51,VA
51683,Manassas City,11304,Washington DC,Virginia,51,VA
51685,Manassas Park City,11304,Washington DC,Virginia,51,VA
51690,Martinsville City,402,Martinsville,Virginia,51,VA
51700,Newport News City,2500,Newport News,Virginia,51,VA
51710,Norfolk City,2000,Virginia Beach,Virginia,51,VA
51720,Norton City,11203,Big Stone Gap,Virginia,51,VA
51730,Petersburg City,2400,Richmond,Virginia,51,VA
51735,Poquoson City,2500,Newport News,Virginia,51,VA
51740,Portsmouth City,2000,Virginia Beach,Virginia,51,VA
51750,Radford City,16600,Roanoke,Virginia,51,VA
51760,Richmond City,2400,Richmond,Virginia,51,VA
51770,Roanoke City,16600,Roanoke,Virginia,51,VA
51775,Salem City,16600,Roanoke,Virginia,51,VA
51790,Staunton City,17300,Staunton,Virginia,51,VA
51800,Suffolk City,2000,Virginia Beach,Virginia,51,VA
51810,Virginia Beach City,2000,Virginia Beach,Virginia,51,VA
51820,Waynesboro City,17300,Staunton,Virginia,51,VA
51830,Williamsburg City,2500,Newport News,Virginia,51,VA
51840,Winchester City,17502,Winchester,Virginia,51,VA
