st,stateabbrv,statename,le_agg_slope_q1_F,le_raceadj_slope_q1_F,le_agg_slope_q2_F,le_raceadj_slope_q2_F,le_agg_slope_q3_F,le_raceadj_slope_q3_F,le_agg_slope_q4_F,le_raceadj_slope_q4_F,le_agg_slope_q1_M,le_raceadj_slope_q1_M,le_agg_slope_q2_M,le_raceadj_slope_q2_M,le_agg_slope_q3_M,le_raceadj_slope_q3_M,le_agg_slope_q4_M,le_raceadj_slope_q4_M,sd_le_agg_slope_q1_F,sd_le_raceadj_slope_q1_F,sd_le_agg_slope_q2_F,sd_le_raceadj_slope_q2_F,sd_le_agg_slope_q3_F,sd_le_raceadj_slope_q3_F,sd_le_agg_slope_q4_F,sd_le_raceadj_slope_q4_F,sd_le_agg_slope_q1_M,sd_le_raceadj_slope_q1_M,sd_le_agg_slope_q2_M,sd_le_raceadj_slope_q2_M,sd_le_agg_slope_q3_M,sd_le_raceadj_slope_q3_M,sd_le_agg_slope_q4_M,sd_le_raceadj_slope_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
1,"AL","Alabama",.1058994,.1330623,.1073276,.1197705,.2077752,.2079483,.0898063,.0896098,.0655392,.0911509,.0905261,.1054501,.0016037,.0115864,.1400216,.1408171,.0448573,.0436013,.0536139,.0515268,.0686127,.0657678,.0888044,.0854443,.0337247,.0339594,.0522388,.0510843,.0617563,.0597159,.0768604,.0740987,2950958,2392439,2157683,1796464,2478228,2347295,2127594,1700935
2,"AK","Alaska",-.235709,-.2373265,.1249744,.1231459,.0979796,.0962732,.3274451,.3218058,-.1187176,-.1250045,-.0849464,-.0841904,.0936498,.086199,.3173929,.3088739,.1331241,.1319913,.1637585,.1602777,.144392,.1438884,.1333478,.1304958,.1077176,.1052192,.1330692,.1292707,.1343585,.1318381,.11276,.1095766,255664,327026,389366,463937,300102,333457,427318,467876
4,"AZ","Arizona",.0673968,.0518446,.1470884,.1344733,.2361071,.2252334,.2500498,.2391846,-.0048348,-.0205176,.1123676,.0985938,.1668503,.1560961,.2263463,.2191211,.0494769,.0484574,.055369,.0542568,.0628091,.0618981,.0724726,.0706633,.0380943,.0374739,.0513832,.0507704,.0593335,.0585241,.0653479,.0637838,2819027,2906356,2638926,2544882,2845278,2687035,2511040,2443736
5,"AR","Arkansas",.0354621,.0586567,.1173481,.1214623,.1887929,.1867466,.219979,.2114099,.0832099,.101011,.0109015,.0194281,.279687,.2801573,.2810246,.2753411,.0583738,.0565284,.0669228,.0643647,.0833478,.0800789,.1183966,.1139075,.0435282,.0432829,.0618808,.060643,.0861005,.0837632,.1064202,.1036378,1764012,1529819,1264650,855278,1609533,1505479,1196074,799507
6,"CA","California",.1466207,.1272624,.2304896,.2174284,.2642518,.2576748,.22904,.225481,.0966171,.0724525,.2591701,.2412942,.1679991,.1577684,.2111171,.2090249,.0201538,.0215325,.0270899,.0287237,.0278375,.0296176,.0258113,.0281407,.0175566,.0183941,.0241745,.024846,.0269131,.0277998,.0257532,.0263914,17585364,16174468,15777632,19808216,17875254,15669117,15051467,19605804
8,"CO","Colorado",.1984356,.2012424,-.0434372,-.0375317,.1361355,.1386303,.1947122,.1917748,.0188379,.0234213,.018086,.0221179,.1909872,.1919706,.1336461,.1343291,.0574037,.0567943,.0578609,.0569988,.0658109,.0649008,.0555262,.0538644,.0435475,.0430046,.0486112,.047889,.0571089,.0562985,.0523765,.0506243,1966175,2406240,2653094,3035876,2035489,2329176,2591261,2956349
9,"CT","Connecticut",.2493844,.2319684,.2581054,.2454917,.4179316,.4010338,.1871404,.1781326,.1071639,.0927338,.1833754,.1764019,.227806,.220926,.1671442,.1639538,.0752199,.0737707,.0779044,.0758408,.0714393,.0693532,.0629017,.0607976,.0585188,.0578213,.0625232,.061129,.0648747,.0628715,.0627808,.0605302,1241192,1637115,2057702,3020021,1194223,1502402,1948420,2891359
10,"DE","Delaware",.2212317,.2290057,-.0508117,-.0401093,.0550176,.0594486,.3341026,.3253152,.105902,.1076348,.2164581,.2163784,.2835992,.2802541,.235006,.2314175,.120521,.1180675,.129551,.1255578,.1363754,.1308743,.1595955,.1574,.089872,.089986,.1084772,.1059993,.1191783,.1157186,.1457331,.1427083,388151,467147,490674,515389,354845,413571,463658,488355
11,"DC","District Of Columbia",-.0236966,-.0168586,.2099155,.2204335,.1804027,.1881415,.0446585,.0609779,.1416693,.1239772,.1380039,.152562,.0085621,.0256757,-.0036456,.0164024,.1383782,.1360396,.1692382,.1617656,.1812554,.171704,.1868127,.1768045,.099928,.1011391,.143883,.1429757,.1973037,.1907745,.1758228,.1666663,295546,276579,207738,275485,323723,227163,163177,272265
12,"FL","Florida",-.0854357,-.0835493,.0609054,.0594535,.1522033,.1498569,.1260162,.1242553,-.0689906,-.0653978,-.0523133,-.0517844,.110579,.1102901,.2360005,.2363249,.0231428,.0236795,.031063,.03122,.0366552,.0369373,.0399485,.0397105,.0188791,.0188288,.0279688,.0281444,.0352988,.0350313,.0398816,.0394444,11564596,9776355,7945169,7162995,11095844,9050404,7416705,6902024
