st,stateabbrv,statename,le_agg_slope_q1_F,le_raceadj_slope_q1_F,le_agg_slope_q2_F,le_raceadj_slope_q2_F,le_agg_slope_q3_F,le_raceadj_slope_q3_F,le_agg_slope_q4_F,le_raceadj_slope_q4_F,le_agg_slope_q1_M,le_raceadj_slope_q1_M,le_agg_slope_q2_M,le_raceadj_slope_q2_M,le_agg_slope_q3_M,le_raceadj_slope_q3_M,le_agg_slope_q4_M,le_raceadj_slope_q4_M,sd_le_agg_slope_q1_F,sd_le_raceadj_slope_q1_F,sd_le_agg_slope_q2_F,sd_le_raceadj_slope_q2_F,sd_le_agg_slope_q3_F,sd_le_raceadj_slope_q3_F,sd_le_agg_slope_q4_F,sd_le_raceadj_slope_q4_F,sd_le_agg_slope_q1_M,sd_le_raceadj_slope_q1_M,sd_le_agg_slope_q2_M,sd_le_raceadj_slope_q2_M,sd_le_agg_slope_q3_M,sd_le_raceadj_slope_q3_M,sd_le_agg_slope_q4_M,sd_le_raceadj_slope_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
13,"GA","Georgia",.0455535,.0687443,.2070024,.2132025,.2068188,.2050333,.1429549,.1385743,.0864829,.103736,.0366438,.0511123,.1246534,.1282203,.1598599,.1606463,.0344942,.0334771,.0429695,.0419951,.050429,.0492566,.0521185,.0510625,.0284896,.0288401,.0399943,.0391771,.0455445,.0446048,.052951,.0514423,5325068,4638885,4234494,4245401,4592568,4311930,3995553,4130759
15,"HI","Hawaii",.3230891,.3831984,.2815717,.3691373,.3150323,.4177596,.0092176,.0346703,.1709067,.1843453,.1811068,.1958672,.2509971,.274155,-.077839,-.0784645,.1038368,.1096595,.1176132,.1329512,.1200858,.1370995,.1491773,.1732226,.0847156,.082823,.1079788,.1085704,.1151832,.1206937,.1259217,.1330089,609736,719165,705227,649296,610816,695070,723572,614249
16,"ID","Idaho",.0882733,.0825083,.1350069,.127638,.1617191,.1554471,.00997,.0066503,-.0196407,-.0295837,-.0675362,-.0690305,.0279685,.0264396,.3689689,.3548458,.0976123,.0934263,.1024454,.0983473,.1139766,.1094215,.1693211,.1642871,.0746291,.0724767,.0908989,.0879175,.1032592,.0999147,.1248067,.1211737,710679,795280,784669,531878,694471,831196,766311,500100
17,"IL","Illinois",.0926113,.0929057,.2258681,.2218737,.2189491,.2126818,.3384663,.3313506,.1254909,.123431,.1831641,.1823499,.1840603,.1830761,.2687466,.2690031,.035251,.0344895,.0401661,.0391062,.0431614,.0420695,.0448868,.0445203,.0277728,.0274307,.0338295,.0332909,.0388883,.0381597,.0414477,.0408136,5471533,6153298,6871574,7460029,5101749,5826039,6663316,7168342
18,"IN","Indiana",.1189392,.1207548,.1087124,.1037398,.3478586,.3330946,.3588718,.3430925,.106384,.1077965,.1220146,.1185002,.1180027,.1151561,.2148106,.2102308,.0460857,.0445027,.0505144,.0483147,.0527564,.0503545,.0700143,.0672847,.0317586,.0315439,.0423322,.041435,.0471554,.0456077,.0628571,.0604398,2952695,3442917,3867042,2934017,2657822,3466826,3845744,2790342
19,"IA","Iowa",-.1911847,-.1857916,.1254763,.1193909,.3301229,.314766,.2675643,.2564268,-.1554632,-.1555785,.1099075,.1077957,.1744624,.1698956,.1880078,.1864188,.0683401,.0654478,.0762789,.0730426,.0786195,.0751634,.1027553,.0988347,.0553694,.0542862,.0612873,.05936,.0712154,.0687934,.1039104,.1007005,1232756,1671051,1961262,1332244,1212500,1770261,1902627,1240383
20,"KS","Kansas",-.0538535,-.050535,.3049594,.2962843,.3153884,.3056312,.1914169,.1852893,-.0147378,-.0136655,.0866121,.0883692,.0555138,.0573185,.4321505,.4242517,.0695791,.0670703,.0769219,.0742765,.0792682,.0765448,.0980846,.0947226,.0570411,.0560403,.0635426,.0617261,.0722567,.0699396,.0977304,.0953303,1170731,1453381,1627535,1390407,1129195,1464328,1598851,1312265
21,"KY","Kentucky",.0101877,.0183036,.0666827,.0691551,.1662504,.1610082,.0775489,.0759066,.0472488,.0553298,.0562558,.062182,.1786285,.1778182,.3062144,.3010141,.050818,.0488319,.060674,.0577619,.0699778,.066763,.091927,.0879411,.0369692,.0364276,.0503578,.0489714,.0629403,.0607013,.0828504,.0800407,2366313,2340249,2204063,1559467,2237718,2279296,2144608,1486217
22,"LA","Louisiana",.0488114,.0654745,.1899349,.1909827,.2672058,.2606424,.0042108,.0077646,.0354349,.0472124,.0481317,.0565293,.2417676,.2391907,.2365322,.2330781,.0453804,.0442892,.0629863,.0604347,.0761081,.0732843,.0846906,.0811423,.0384121,.0385308,.0519393,.0508595,.0656098,.0634664,.0767964,.0740816,2920552,2151597,1929544,1687568,2348736,2105788,1977062,1642593
23,"ME","Maine",.3748872,.3557635,.2697743,.2569045,.1499226,.143952,.4260753,.4077196,.0768759,.0723058,.2695506,.2587553,.0515005,.0514625,.4149006,.4004699,.0994307,.0960362,.1126188,.1078981,.1250347,.1192642,.1574914,.1520394,.0728395,.0712235,.087474,.0848887,.1172043,.1133548,.1294776,.1256216,756501,870082,868324,558586,716973,863401,821344,511715
24,"MD","Maryland",.0768141,.0803492,.1809154,.1796303,.1308924,.1262702,.1985354,.1924335,.116008,.1127213,.164152,.1674323,.0352492,.0364265,.2310753,.2281616,.0512066,.0501449,.0616923,.0602895,.0589723,.0574662,.0529535,.0522962,.0405403,.0405523,.0516612,.051059,.0573074,.0557716,.0541636,.0526504,2265864,2862968,3214830,4435374,2104664,2447179,2850346,4205675
25,"MA","Massachusetts",.2504497,.2335641,.3057836,.2914352,.2974201,.2824635,.2750142,.2621712,.1652788,.1551426,.234337,.2298885,.2501743,.2455688,.1846182,.1824097,.050609,.050134,.0558613,.0543469,.0564304,.0547,.0521289,.0506324,.0425416,.0417381,.0502216,.0489983,.0560592,.0543842,.0531105,.0510517,2444687,3095970,3686177,5003351,2339694,2901373,3481797,4818875
26,"MI","Michigan",.0357196,.0320388,.2536516,.2420784,.3471345,.3308536,.3769834,.3621857,.1021636,.0962367,.1922936,.1868958,.2942215,.2856327,.2832966,.2771015,.0356666,.0347067,.0400344,.0385178,.0424908,.040804,.0452147,.0437102,.0264923,.0264958,.0345708,.0338727,.0380483,.0366065,.0469427,.0450657,4791206,5248861,5864283,5406815,4261185,4930891,5779980,5256587
27,"MN","Minnesota",.0260576,.0203527,.2537405,.2435596,.2711186,.2604858,.1513677,.1454952,-.0036688,.00105,.1370187,.137996,.2839547,.2782957,.1130819,.113655,.0606612,.0591671,.0589996,.0567283,.0614912,.0591021,.0649952,.0625889,.0458982,.0451068,.0552015,.0534473,.0543397,.0523058,.0624158,.0600253,1805654,2637680,3369652,3309660,1866267,2672905,3309545,3176077
28,"MS","Mississippi",-.0731996,-.0391782,.0928863,.1099252,.0171314,.0277585,.1332485,.1320832,.0958876,.1251241,.0215101,.0440283,.0246081,.0386939,.0817082,.0874988,.057405,.0561719,.0719261,.0697619,.0817601,.0782389,.1137718,.1096967,.0423288,.0426372,.0616226,.0605625,.0821284,.0796904,.1070594,.1035449,2040786,1439812,1179543,820474,1704052,1448264,1153537,770537
29,"MO","Missouri",-.0256172,-.0191781,.0812877,.080454,.217344,.2089599,.2499876,.2393177,.0624244,.0686434,.0098359,.0145459,.1765561,.1750464,.2881449,.2829855,.0444195,.0429223,.0512749,.0491989,.0595607,.057109,.0674257,.0647767,.0330934,.0328464,.043486,.0424175,.0522146,.050547,.0671377,.0647237,3029673,3280130,3226092,2589557,2824037,3086048,3097927,2440362
30,"MT","Montana",.0815758,.0729642,.2087885,.1995899,.043826,.0426163,.3547712,.3451298,.017926,.013446,.2440174,.2333463,.2617198,.2511998,.2647204,.2553947,.0990479,.0947528,.1129287,.1082006,.1581765,.1533471,.1895871,.184504,.0810359,.0788096,.1041814,.1009743,.1186112,.1154009,.1713169,.1655384,577616,571832,552548,346585,555273,591348,536696,318599
31,"NE","Nebraska",-.0892018,-.086203,.2711692,.2587658,.3496198,.3356336,.2965928,.2852432,.0273765,.0272346,.124602,.1212214,.3067634,.3027194,.2768172,.2719012,.0908769,.0871035,.087826,.0845734,.0965809,.0924784,.1180646,.1137029,.0704515,.0692266,.0799124,.0775775,.0977576,.094963,.1097521,.1059704,731368,972251,1091358,811963,742212,1009235,1063908,759580
32,"NV","Nevada",.1768167,.1394467,.2045929,.1681845,.1618289,.1310304,.4758434,.4490803,.0668513,.0406408,.2247826,.1953222,.2672596,.2469193,.2910814,.2732479,.0755631,.074487,.0811864,.0807283,.0923783,.0919649,.1052729,.1045923,.0502504,.0492064,.0679508,.0667282,.0765592,.0753008,.0896927,.0881248,1210020,1355209,1219402,1073687,1345691,1371303,1239301,1052903
33,"NH","New Hampshire",.0094016,.0100193,.1185024,.1115923,.2017202,.1932013,.3873455,.3698031,.1941426,.1936756,.1630597,.1613409,.2237475,.2190722,.2228736,.2230197,.1132793,.1095754,.1200783,.1153665,.1218112,.1168853,.1278678,.1230585,.0836826,.0821204,.0936787,.0909462,.1020139,.0990537,.124249,.1198921,534097,753517,909013,953197,516158,746040,902602,934517
34,"NJ","New Jersey",.1131252,.0952948,.1712588,.156814,.349426,.3309996,.2673464,.2533745,.204114,.1905134,.1719905,.1648012,.1649717,.1595796,.1711286,.1700002,.0433769,.0435251,.0507584,.0504654,.0500159,.0495907,.0436137,.0443246,.036427,.0358472,.0422746,.0414258,.0455155,.0448351,.0404574,.039749,3525413,4022167,4600038,7118719,3341692,3665148,4319284,6973313
35,"NM","New Mexico",.0814121,.0695265,.3136443,.3205214,.181123,.1864569,.2742833,.2781489,.0039232,-.0164417,.0704626,.0631389,.1289056,.1268982,.1837803,.1843894,.0666899,.0697947,.0839203,.0861452,.1104892,.1111387,.118314,.1169062,.0521316,.0536037,.0802958,.0814658,.0869136,.0891437,.1229302,.1218686,1228353,1056014,876743,728617,1129496,963128,842155,677132
36,"NY","New York",.1774079,.1670809,.1970502,.1854209,.2768249,.2644682,.2340864,.2212716,.2076031,.2042383,.1683257,.1637171,.1799869,.1743917,.1833705,.1769481,.0301558,.0305409,.0331604,.0332981,.0356994,.0356714,.0355786,.0358159,.0250118,.0249527,.0305173,.0297412,.0321777,.0318262,.0319825,.0317143,9920865,9589904,9118431,10303837,9493367,8677840,8607468,9930866
37,"NC","North Carolina",.0842868,.1009851,.1248512,.1283597,.1789847,.1755832,.1484044,.1414158,.1137047,.1260959,.1600719,.1658004,.11606,.1198355,.2273014,.2217382,.0346376,.033391,.0407455,.0391716,.0460805,.0441424,.0556557,.0532767,.0270175,.0271428,.0373451,.0366018,.0491569,.0475403,.0549496,.0527215,5109955,4897071,4522517,3942719,4503930,4573549,4260539,3746660
38,"ND","North Dakota",.0779755,.0670307,.0530795,.049383,.3142309,.2992489,.4485663,.4353195,-.1917627,-.1903857,.2148317,.205829,.3481824,.3365394,.5130326,.5120204,.1411909,.1356374,.167588,.1620772,.1585982,.152327,.2044153,.1980682,.105492,.1033097,.1227652,.119425,.1306009,.1270096,.1774566,.174127,271239,345358,423129,284826,273366,382681,430295,270037
39,"OH","Ohio",.0906571,.0919502,.1887909,.1829786,.3302923,.3169757,.3795985,.3645545,.1019603,.1048156,.1853644,.1841996,.2069008,.204425,.2342556,.2319036,.033407,.0324488,.0360412,.0345878,.0390913,.0374004,.0536923,.05147,.024514,.0244099,.0310058,.0303086,.0393048,.0379807,.0504971,.0484691,5782879,7106980,6767384,4978971,5281393,6859676,6578551,4749778
40,"OK","Oklahoma",-.0934007,-.0875146,.1338329,.1298209,.2407788,.2309137,.0649707,.0638919,-.0371746,-.0372921,-.0470317,-.0467702,.2576939,.2501977,.2152829,.2115627,.0506674,.0487043,.0653122,.0626472,.0786876,.0758253,.0963049,.0922877,.0380506,.0374393,.0569711,.055595,.0666686,.0647758,.0905828,.087851,2045087,1937245,1747101,1297186,1849411,1871793,1708344,1215176
41,"OR","Oregon",.0925645,.0873304,.2357217,.2278155,.4012971,.3867664,.2952147,.2847832,.0593175,.0543353,.1546196,.1480513,.3778377,.3651073,.2044839,.198777,.059933,.0574357,.0733429,.0707446,.0739055,.0715979,.0817974,.0789734,.0461104,.0449441,.0613428,.059256,.0681927,.0661729,.0813849,.077924,1857912,2015630,2090963,1741359,1824261,2002715,1980948,1631887
42,"PA","Pennsylvania",.0912121,.0842144,.2445913,.2324728,.2558315,.2435376,.2140494,.2036999,.0294934,.0254675,.0848843,.0830495,.1990202,.1943392,.2105123,.2063222,.0322851,.0314938,.0329957,.0318027,.0370855,.0355376,.0451614,.0436275,.0238394,.023645,.0318456,.0309749,.0364829,.0353427,.0413844,.0400443,5721746,6997289,7682660,6760205,5397329,6966449,7370388,6399846
44,"RI","Rhode Island",.217234,.2063992,.0658152,.0630126,.2570536,.2471085,.3490849,.3364441,.0769083,.0687159,.1882493,.1822877,.0691627,.0688121,.1708398,.1651827,.126701,.1235177,.1279983,.1236702,.1289747,.1237173,.1404573,.1366447,.0909618,.0888551,.1125337,.1097043,.1075553,.1038848,.1490572,.1450395,486397,554084,622977,624970,445642,534016,591932,594067
45,"SC","South Carolina",.0657555,.0809641,.1618862,.1653057,.0960144,.0975602,.1207198,.1183085,.1304042,.1462154,.1956565,.2051308,.2921912,.2908315,.1394521,.1400352,.0445369,.0430515,.0550713,.0528536,.0714624,.0684658,.0760948,.0730957,.0351965,.0353882,.0515913,.0503135,.0645879,.0626895,.0746481,.0721223,2878174,2364468,2083447,1683359,2407589,2245078,2000100,1565944
46,"SD","South Dakota",.0420941,.0337035,.3248753,.3103397,.0369715,.0366722,.2389363,.2303065,.0698692,.0628489,-.0446573,-.0391037,.1682803,.162668,.2275331,.217964,.1277326,.1235698,.1386008,.1329501,.1506555,.1442035,.1825807,.1753342,.0949276,.0926549,.1126366,.1090809,.1343575,.1295814,.168901,.1631202,362995,452694,486185,293019,371497,482563,467096,272455
47,"TN","Tennessee",-.0351296,-.0144679,.0140669,.0230014,.1788451,.1775462,.2081342,.2015207,-.0295762,-.0117089,-.0003397,.0102344,.1568651,.1606453,.0779237,.0800005,.0398942,.0384889,.0457694,.0440984,.0571047,.0547989,.0668364,.0645099,.0300047,.0298614,.0421387,.0411824,.0534484,.0515889,.0656067,.0631699,3638530,3542552,3088968,2384541,3373530,3343601,2935826,2259034
48,"TX","Texas",.0798095,.0783823,.1342377,.1286789,.2320784,.2253469,.2109601,.2042251,-.0000796,-.0094231,.1241008,.1102882,.1417912,.1321836,.1744287,.1701946,.0236492,.0241016,.0297794,.0303023,.0339819,.0344119,.0372808,.037557,.0191183,.0189627,.026371,.0265455,.0313757,.0312487,.0323335,.0321876,12808852,11208212,9931580,10821676,11713010,10801472,9863617,10768192
49,"UT","Utah",.069609,.0622082,.0678548,.0600171,.242304,.2311265,.1599748,.1537176,.0387295,.033047,.1473797,.1381762,.0710264,.0657227,-.0396317,-.0367621,.0859059,.0824284,.0795135,.0774615,.0992654,.0965772,.0924949,.0890984,.0701903,.068038,.0840686,.0821139,.0758729,.0739218,.0841545,.0810491,803391,1003772,1271501,1069075,785039,1035310,1295221,1028896
50,"VT","Vermont",.150097,.1450392,.0991871,.0930642,.1871016,.1777779,.1402876,.1352015,.0601064,.0592115,.2973184,.2900258,.0718036,.0705906,.4811985,.4718134,.1448345,.138824,.1674636,.1614687,.1838428,.1763357,.192857,.1862414,.1160188,.1134415,.1236032,.1209306,.1320277,.1269651,.1631872,.1591767,318919,400270,430715,320556,321997,403301,408060,293886
51,"VA","Virginia",.1202959,.1319345,.1254177,.1273315,.2760283,.2707793,.2697392,.2625688,.1299051,.144717,.1169908,.1262574,.1415486,.1485687,.2691014,.266674,.0407384,.0394762,.0510852,.0495714,.0515753,.0503778,.0477929,.0472937,.0343101,.0341396,.0432901,.0423779,.0509393,.0499297,.0454068,.0439648,3500345,3837790,4195917,5330438,3126698,3627913,4003612,5145127
53,"WA","Washington",.196233,.1863546,.1109626,.1059557,.31633,.3072297,.2557745,.2502952,.0527879,.0510282,.0433703,.0450174,.1859412,.1847316,.082703,.0855707,.0496466,.0488419,.0564444,.0554334,.0543773,.053418,.0587978,.0584177,.0407143,.0398464,.0481112,.0470114,.0508752,.0494095,.0543708,.0527607,2626441,3265219,3822295,3934993,2558854,3235782,3831839,3815467
54,"WV","West Virginia",-.0086057,-.0072013,.0081244,.0091025,.1528958,.1480867,.1227025,.1209428,-.1216087,-.1146431,-.2271048,-.2175707,.0929845,.092699,.3781784,.3713276,.0729157,.0697981,.0932162,.0891244,.1085758,.1035623,.144808,.140473,.0514263,.0506393,.0709396,.0685951,.0856076,.0821635,.1336338,.1299182,1101998,1049226,982419,571894,1044527,1076598,970235,532000
55,"WI","Wisconsin",.0958653,.0924343,.1820468,.1754707,.2978238,.2855736,.2336471,.2240681,-.0169554,-.0180214,.2206714,.2153716,.1834646,.1801827,.2911209,.2830257,.054989,.0532171,.0553973,.0534142,.0533011,.0508324,.0682948,.0654406,.0384712,.0379259,.0456547,.0444401,.0499074,.0480546,.0647222,.062495,2212675,2987283,3895895,2983041,2186975,3127425,3842625,2817841
56,"WY","Wyoming",-.0294293,-.0364532,-.0673978,-.0686597,.0890192,.0816233,.5393509,.5195599,-.1492368,-.1527563,-.2034281,-.2012699,-.0714305,-.0695835,.0456502,.0447954,.1356008,.1309219,.1381458,.1327055,.156677,.1510045,.1989532,.1932175,.1072102,.1051901,.1310672,.1272508,.1286354,.1248768,.1563483,.1521632,248611,272694,345404,275599,239729,302142,374917,262742
