country,le_F,le_M
"Afghanistan",72.50563,70.46559
"Albania",77.88329,75.76683
"Algeria",76.32648,73.69137
"Andorra",86.28052,80.40559
"Angola",70.83729,68.92311
"Antigua and Barbuda",79.46231,76.17616
"Argentina",81.61866,75.85692
"Armenia",77.09137,70.31889
"Australia",85.70002,81.84601
"Austria",84.72289,79.79945
"Azerbaijan",78.41154,73.82801
"Bahamas",81.04459,75.71915
"Bahrain",79.57301,78.10643
"Bangladesh",76.3203,74.6088
"Barbados",83.22409,78.50809
"Belarus",79.17292,68.60118
"Belgium",83.82399,79.33847
"Belize",80.82262,75.53248
"Benin",72.19926,70.09588
"Bhutan",74.90842,74.76009
"Bolivia (Plurinational State of)",75.97135,73.09286
"Bosnia and Herzegovina",80.62934,76.33601
"Botswana",73.07014,71.13516
"Brazil",80.93296,75.84885
"Brunei Darussalam",79.79941,77.61063
"Bulgaria",79.67174,73.41965
"Burkina Faso",71.41045,69.61936
"Burundi",71.48624,69.26583
"Cabo Verde",80.58342,74.38691
"Cambodia",81.10012,77.65656
"Cameroon",70.90228,69.37628
"Canada",84.99001,81.31078
"Central African Republic",69.1108,67.58544
"Chad",69.03114,66.98598
"Chile",84.20681,79.3878
"China",78.83376,76.18619
"Colombia",83.40925,80.11258
"Comoros",72.49847,70.13773
"Congo",72.70515,70.84438
"Cook Islands",80.34732,76.52349
"Costa Rica",82.99118,79.92988
"Cote d'Ivoire",68.9547,67.97236
"Croatia",82.25226,76.14869
"Cuba",81.21494,78.11718
"Cyprus",84.67553,81.31573
"Czech Republic",82.04808,76.5355
"Democratic People's Republic of Korea",77.14672,70.79038
"Democratic Republic of the Congo",70.79951,68.6334
"Denmark",82.63115,78.91983
"Djibouti",72.68241,70.25735
"Dominica",78.97454,75.36739
"Dominican Republic",78.16869,77.69939
"Ecuador",81.54494,78.22628
"Egypt",76.31808,72.216
"El Salvador",79.75769,74.79301
"Equatorial Guinea",71.32442,69.33343
"Eritrea",72.46613,68.23813
"Estonia",82.72248,74.14713
"Ethiopia",75.15986,73.20364
"Fiji",75.69619,70.74988
"Finland",84.60698,79.16234
"France",85.97716,80.11838
"Gabon",74.18074,71.91722
"Gambia",73.12436,71.19018
"Georgia",80.09666,73.87523
"Germany",84.01102,79.69834
"Ghana",73.69322,72.18888
"Greece",84.78465,80.26114
"Grenada",79.6178,72.55296
"Guatemala",79.86634,75.83513
"Guinea",72.1484,70.79468
"Guinea-Bissau",70.24488,67.46429
"Guyana",71.94452,66.45176
"Haiti",73.48626,71.48908
"Honduras",80.75179,77.12447
"Hungary",79.79356,72.84596
"Iceland",84.72643,81.70004
"India",75.04424,71.43818
"Indonesia",76.30579,73.30022
"Iran (Islamic Republic of)",78.61028,76.53168
"Iraq",77.22559,71.77539
"Ireland",84.20808,80.56179
"Israel",85.00228,81.63564
"Italy",85.8718,81.48315
"Jamaica",80.30078,76.33609
"Japan",87.97282,81.39774
"Jordan",78.05511,75.14427
"Kazakhstan",75.20193,67.90378
"Kenya",74.04953,71.73633
"Kiribati",75.69791,72.22776
"Kuwait",79.99575,79.91005
"Kyrgyzstan",76.22073,70.36117
"Lao People's Democratic Republic",74.76295,72.51082
"Latvia",80.09288,71.68151
"Lebanon",83.47263,79.32085
"Lesotho",67.5603,63.7412
"Liberia",72.33456,70.20627
"Libya",79.32208,75.84555
"Lithuania",80.60923,71.40189
"Luxembourg",84.80244,80.86077
"Madagascar",73.71864,71.49099
"Malawi",71.89187,68.90617
"Malaysia",77.84278,74.45078
"Maldives",80.01546,78.36663
"Mali",71.17352,70.53879
"Malta",83.13056,80.51086
"Marshall Islands",77.38246,74.04826
"Mauritania",73.75396,71.50184
"Mauritius",79.92307,73.68311
"Mexico",80.23383,76.67897
"Micronesia (Federated States of)",74.91755,73.03233
"Monaco",86.22832,80.21092
"Mongolia",74.74121,68.5719
"Montenegro",79.37837,75.19788
"Morocco",76.31584,73.46429
"Mozambique",69.12513,67.77634
"Myanmar",73.99236,71.25134
"Namibia",75.72262,73.02489
"Nauru",85.57901,77.81938
"Nepal",74.73431,72.66685
"Netherlands",83.90339,80.39953
"New Zealand",84.79375,82.00946
"Nicaragua",79.63721,75.5605
"Niger",71.88305,70.8971
"Nigeria",70.57053,69.31285
"Niue",78.92065,73.61612
"Norway",84.49189,80.88848
"Oman",80.29031,76.95476
"Pakistan",74.71761,73.39172
"Palau",77.22792,73.89891
"Panama",83.08969,79.11164
"Papua New Guinea",71.86156,67.71245
"Paraguay",80.66277,76.16122
"Peru",81.60354,79.02563
"Philippines",75.96409,70.28222
"Poland",81.9156,74.44894
"Portugal",85.00816,79.00104
"Qatar",80.61364,80.77018
"Republic of Korea",85.59325,79.51833
"Republic of Moldova",76.74202,69.56172
"Romania",79.75248,73.05294
"Russian Federation",77.49833,67.87846
"Rwanda",74.997,72.98008
"Saint Kitts and Nevis",79.02993,73.71783
"Saint Lucia",81.32066,75.54083
"Saint Vincent and the Grenadines",79.16646,76.16706
"Samoa",79.09304,73.06593
"San Marino",84.22696,83.21921
"Sao Tome and Principe",75.60772,73.53624
"Saudi Arabia",79.25558,76.22707
"Senegal",73.55857,71.15841
"Serbia",78.38467,73.71506
"Seychelles",80.66147,72.46957
"Sierra Leone",66.77247,65.89542
"Singapore",85.77272,81.37041
"Slovakia",81.16243,74.3065
"Slovenia",84.14505,78.34896
"Solomon Islands",74.62686,72.32727
"Somalia",71.70501,69.74758
"South Africa",73.28544,65.83306
"South Sudan",71.23993,69.72894
"Spain",86.3679,80.74556
"Sri Lanka",80.24823,74.60549
"Sudan",74.15099,71.86846
"Suriname",82.85551,77.81039
"Swaziland",67.97084,65.90929
"Sweden",84.29106,80.94373
"Switzerland",85.98095,81.92832
"Syrian Arab Republic",80.20049,75.71729
"Tajikistan",74.3024,73.83623
"Thailand",81.08149,75.08748
"The former Yugoslav republic of Macedonia",78.79798,75.12283
"Timor-Leste",74.56491,72.17584
"Togo",72.08954,70.38979
"Tonga",72.53857,76.04872
"Trinidad and Tobago",77.12652,71.48604
"Tunisia",80.13963,76.88203
"Turkey",81.31685,75.87291
"Turkmenistan",72.87858,67.57622
"Tuvalu",74.18265,70.30337
