gnd,year,age,dm1_pop,dm1_dead,irs_posinc_pop,irs_posinc_dead,irs_zeroinc_pop,irs_zeroinc_dead,irs_pop,irs_dead,cdc_dead,cdc_pop
"F",2008,63,1632550,12248,1180632,7495,279057,4475,1474830,12057,12780,1431620
"F",2009,63,1917541,14020,1460263,9408,270866,4312,1749397,13837,12908,1432316
"F",2010,63,2130404,15358,1611734,9819,313804,5233,1949539,15226,15631,1811555
"F",2011,63,2063657,14874,1538721,9195,314400,5388,1878689,14729,15372,1801788
"F",2012,63,2081240,14628,1554136,9091,316433,5249,1893196,14469,15102,1803760
"F",2013,63,2096604,14578,1553326,9087,323551,5190,1898979,14398,15109,1837353
"F",2014,63,2162013,15538,1551277,8793,405664,6457,1970910,15343,15636,1870552
"F",2001,64,1313945,12167,,,,,,,12332,1080816
"F",2002,64,1365320,12422,943898,7796,274564,4186,1227187,12057,12605,1131435
"F",2003,64,1365353,12427,961598,7988,255546,4075,1226336,12137,12833,1139251
"F",2004,64,1425585,12379,1003522,7917,261681,4073,1276361,12085,12561,1188741
"F",2005,64,1473481,12845,1058563,8200,260823,4245,1333212,12563,12808,1212791
"F",2006,64,1629786,13764,1178607,8845,282076,4550,1476536,13528,13169,1294668
"F",2007,64,1672248,13793,1221952,8809,282451,4662,1520580,13575,14257,1451383
"F",2008,64,1626344,13435,1177518,8437,279463,4719,1471941,13268,13985,1397948
"F",2009,64,1620302,13088,1173137,8345,274582,4457,1462773,12916,13362,1410628
"F",2010,64,1903521,14880,1450855,10189,266554,4412,1735560,14750,13571,1389236
"F",2011,64,2115046,16530,1601915,10908,308571,5294,1934313,16357,16991,1881617
"F",2012,64,2048783,15784,1529526,10058,309012,5408,1863960,15629,16159,1788224
"F",2013,64,2066612,15890,1545045,10117,311184,5460,1878727,15732,16379,1789989
"F",2014,64,2082026,15980,1544239,10096,318361,5569,1884581,15816,16253,1826662
"F",2001,65,1272605,12718,,,,,,,13193,1068644
"F",2002,65,1301778,12802,,,,,,,13046,1073097
"F",2003,65,1352898,13318,936102,8601,270378,4336,1215130,13016,13333,1124059
"F",2004,65,1352926,12827,953610,8249,251471,4211,1214199,12562,13158,1132615
"F",2005,65,1413206,13038,995605,8524,257608,4150,1264276,12767,13226,1183371
"F",2006,65,1460636,13449,1050363,8736,256578,4378,1320649,13228,13386,1208196
"F",2007,65,1616022,14623,1169762,9544,277526,4704,1463008,14393,14160,1290637
"F",2008,65,1658455,15134,1213143,9884,277789,4924,1507005,14949,15371,1448356
"F",2009,65,1612909,14264,1169081,9241,274744,4756,1458673,14119,14679,1396005
"F",2010,65,1607214,13882,1164792,8968,270125,4658,1449857,13754,14216,1407451
"F",2011,65,1888641,16088,1440666,11272,262142,4525,1720810,15933,14478,1400553
"F",2012,65,2098516,17570,1591007,11605,303277,5593,1917956,17399,17897,1866012
"F",2013,65,2032999,17234,1519468,11249,303604,5666,1848331,17089,17798,1775062
"F",2014,65,2050722,16931,1534928,11026,305724,5555,1862995,16734,17247,1776761
"F",2001,66,1257560,13982,,,,,,,14295,1075042
"F",2002,66,1259887,13603,,,,,,,13899,1058192
"F",2003,66,1288976,13740,,,,,,,13730,1062639
"F",2004,66,1339580,13712,927501,8905,266042,4463,1202114,13449,13962,1112641
"F",2005,66,1340099,13751,945361,9102,247260,4306,1201637,13481,13977,1121292
"F",2006,66,1400168,13696,987081,9100,253458,4296,1251509,13492,13688,1171707
"F",2007,66,1447187,14280,1041627,9499,252200,4428,1307421,14064,14065,1195702
"F",2008,66,1601399,15644,1160218,10469,272822,4836,1448615,15456,14978,1277374
"F",2009,66,1643321,15737,1203259,10407,272865,5046,1492056,15592,15988,1433620
"F",2010,66,1598645,15120,1159840,9987,269988,4898,1444554,14998,15551,1390865
"F",2011,66,1593332,14732,1155824,9716,265467,4768,1436103,14617,14986,1391276
"F",2012,66,1872553,17042,1429394,11980,257617,4768,1704877,16905,15381,1388112
"F",2013,66,2080946,19191,1579402,13002,297684,5790,1900557,18988,19252,1851206
"F",2014,66,2015765,18038,1508219,11878,297938,5804,1831242,17860,18776,1758649
"F",2001,67,1221093,14774,,,,,,,14971,993065
"F",2002,67,1243578,14681,,,,,,,15318,1064068
"F",2003,67,1246284,14324,,,,,,,14955,1048005
"F",2004,67,1275236,14588,,,,,,,14607,1052462
"F",2005,67,1325868,14673,918596,9738,261579,4591,1188665,14424,14804,1102944
"F",2006,67,1326348,14277,936259,9742,242954,4227,1188156,14069,14652,1112106
"F",2007,67,1386472,14738,977981,10021,249162,4434,1238017,14550,14638,1162703
"F",2008,67,1432907,15478,1032128,10608,247772,4525,1293357,15297,15234,1186870
"F",2009,67,1585755,16343,1149749,11040,267986,5011,1433159,16203,15799,1268698
"F",2010,67,1627584,16829,1192852,11448,267819,5108,1476464,16731,17027,1400459
"F",2011,67,1583525,16030,1149853,10669,265090,5094,1429556,15921,16541,1366334
"F",2012,67,1578600,15631,1146108,10491,260699,4832,1421486,15489,15983,1377451
"F",2013,67,1855511,18200,1417414,13116,252849,4767,1687972,18053,16422,1373271
"F",2014,67,2061755,20489,1566400,14116,291894,5961,1881569,20297,20820,1832245
"F",2001,68,1161825,15170,,,,,,,16051,1001409
"F",2002,68,1206319,15579,,,,,,,15572,981106
"F",2003,68,1228897,15603,,,,,,,16040,1051571
"F",2004,68,1231960,15185,,,,,,,15387,1035666
"F",2005,68,1260648,15378,,,,,,,15415,1040489
"F",2006,68,1311195,15487,908858,10331,256988,4848,1174241,15280,15387,1090864
"F",2007,68,1312071,15060,926517,10334,238727,4399,1174087,14840,15231,1099908
"F",2008,68,1371734,15738,967960,10715,244728,4721,1223467,15567,15696,1150404
"F",2009,68,1417429,15964,1021520,10916,243247,4772,1278060,15836,15807,1174695
"F",2010,68,1569412,17462,1138709,11965,262975,5217,1416956,17333,16770,1236376
"F",2011,68,1610755,17833,1181404,12222,262711,5312,1459733,17710,18091,1406096
"F",2012,68,1567495,17260,1139184,11747,259996,5247,1413635,17143,17908,1350715
"F",2013,68,1562969,17022,1135617,11527,255867,5194,1405997,16886,17386,1361259
"F",2014,68,1837311,19814,1404298,14481,248082,4951,1669919,19605,17638,1361047
"F",2001,69,1199837,17064,,,,,,,17612,996458
"F",2002,69,1146655,16315,,,,,,,17166,987351
"F",2003,69,1190740,16570,,,,,,,16444,967432
"F",2004,69,1213294,15891,,,,,,,16415,1037034
"F",2005,69,1216775,16121,,,,,,,16402,1021404
"F",2006,69,1245270,16086,,,,,,,16049,1026329
"F",2007,69,1295708,16270,898527,11228,252140,4749,1158961,16068,16405,1075855
"F",2008,69,1297011,16451,916183,11474,234328,4674,1159247,16275,16768,1084904
"F",2009,69,1355996,16462,957245,11490,240007,4703,1207900,16315,16300,1134860
"F",2010,69,1401465,17177,1010604,12000,238475,4882,1262224,17064,16879,1147565
"F",2011,69,1551950,18768,1126744,13019,257758,5435,1399623,18643,18006,1237599
"F",2012,69,1592922,19235,1169182,13470,257399,5426,1442023,19096,19406,1388207
"F",2013,69,1550235,18453,1127437,12782,254749,5354,1396492,18306,19327,1334729
"F",2014,69,1545947,18103,1124090,12655,250673,5146,1389111,17967,18551,1347458
"F",2001,70,1167110,18299,,,,,,,19075,994877
"F",2002,70,1182773,18356,,,,,,,18817,978995
"F",2003,70,1130340,17330,,,,,,,18349,969166
"F",2004,70,1174170,17445,,,,,,,17435,948585
"F",2005,70,1197403,17339,,,,,,,17757,1016272
"F",2006,70,1200654,16809,,,,,,,17405,1000140
"F",2007,70,1229184,16954,,,,,,,16819,1003987
"F",2008,70,1279438,17597,887299,12264,247391,5067,1142893,17442,17488,1051554
"F",2009,70,1280560,16840,904709,11942,229654,4630,1142972,16680,17286,1059376
"F",2010,70,1339534,17585,945755,12374,235304,4979,1191585,17487,17567,1097510
"F",2011,70,1384288,18352,998604,13001,233593,5088,1245160,18237,18205,1144368
"F",2012,70,1533182,19967,1113725,14075,252323,5536,1380980,19819,19152,1219998
"F",2013,70,1573687,20955,1155712,14814,251973,5804,1422927,20804,21123,1371215
"F",2014,70,1531782,19756,1114655,13935,249395,5511,1378186,19603,20463,1317238
"F",2001,71,1222698,20346,,,,,,,21031,1018307
"F",2002,71,1148811,19294,,,,,,,20183,979452
"F",2003,71,1164417,19228,,,,,,,19539,964958
"F",2004,71,1113010,17818,,,,,,,18663,956125
"F",2005,71,1156725,18501,,,,,,,18588,937061
"F",2006,71,1180064,18243,,,,,,,18621,1005603
"F",2007,71,1183845,17753,,,,,,,17972,990705
"F",2008,71,1212230,17994,,,,,,,18059,995703
"F",2009,71,1261841,18382,875035,12838,242324,5286,1125451,18245,18303,1044260
"F",2010,71,1263720,18425,892767,13223,225024,4952,1126292,18296,18436,1049175
"F",2011,71,1321949,18758,933381,13488,230325,4993,1174098,18625,18554,1090731
"F",2012,71,1365936,19621,985603,14021,228505,5289,1226923,19466,19421,1126530
"F",2013,71,1513215,21339,1099650,15422,246787,5583,1361161,21197,20607,1202131
"F",2014,71,1552732,22328,1140898,16093,246169,5859,1402123,22155,22721,1350392
"F",2001,72,1176731,21215,,,,,,,22278,969044
"F",2002,72,1202352,21402,,,,,,,22352,997815
"F",2003,72,1129517,20343,,,,,,,21437,959437
"F",2004,72,1145189,19872,,,,,,,20717,944588
"F",2005,72,1095192,19032,,,,,,,19942,935793
"F",2006,72,1138224,19470,,,,,,,19073,917086
"F",2007,72,1161821,19069,,,,,,,19752,983890
"F",2008,72,1166092,19351,,,,,,,19825,968816
"F",2009,72,1194236,19074,,,,,,,18790,973444
"F",2010,72,1243459,19569,862197,14010,237038,5294,1107206,19443,19481,1010549
"F",2011,72,1245295,19298,879544,14090,220072,4943,1107996,19157,19650,1031783
"F",2012,72,1303191,20153,919893,14712,225332,5135,1155473,20015,19729,1072341
"F",2013,72,1346315,21158,971582,15389,223216,5405,1207457,20996,20718,1107284
"F",2014,72,1491876,23140,1084228,16975,241204,5763,1339964,22971,22015,1183338
"F",2001,73,1195955,23383,,,,,,,24644,972997
"F",2002,73,1155516,22927,,,,,,,23633,948338
"F",2003,73,1180950,22867,,,,,,,23401,977035
"F",2004,73,1109174,21344,,,,,,,22002,939444
"F",2005,73,1125317,21549,,,,,,,21848,925511
"F",2006,73,1076160,19894,,,,,,,21009,917734
"F",2007,73,1118754,20402,,,,,,,20062,899567
"F",2008,73,1142752,20612,,,,,,,21066,965653
"F",2009,73,1146741,19729,,,,,,,20246,951400
"F",2010,73,1175162,20141,,,,,,,20061,949097
"F",2011,73,1223890,20815,848187,15110,231744,5432,1087763,20693,20698,1001371
"F",2012,73,1225997,20404,865454,14991,215129,5124,1088839,20266,20487,1012526
"F",2013,73,1283038,21441,905181,15776,220197,5336,1135458,21290,21322,1051844
"F",2014,73,1325157,22340,956193,16526,217811,5409,1186461,22156,22035,1089183
"F",2001,74,1200778,25619,,,,,,,26229,953283
"F",2002,74,1172572,24785,,,,,,,25983,948244
"F",2003,74,1132589,23784,,,,,,,24848,923900
"F",2004,74,1158083,23811,,,,,,,24429,951203
"F",2005,74,1087830,22645,,,,,,,23589,914432
"F",2006,74,1103768,22420,,,,,,,22658,900873
"F",2007,74,1056266,20846,,,,,,,21790,892848
"F",2008,74,1098352,22026,,,,,,,21694,874610
"F",2009,74,1122140,21494,,,,,,,22040,938799
"F",2010,74,1127012,21207,,,,,,,21459,927863
"F",2011,74,1155021,21593,,,,,,,21567,935314
"F",2012,74,1203075,21953,833077,16026,226312,5644,1067070,21822,22047,980638
"F",2013,74,1205593,22154,850463,16458,210005,5345,1068573,21963,22576,991123
"F",2014,74,1261597,23003,889405,17189,214861,5452,1114168,22841,22627,1032934
"F",2001,75,1176738,26620,,,,,,,28150,925789
"F",2002,75,1175159,27029,,,,,,,28177,924736
"F",2003,75,1147787,26256,,,,,,,27197,919089
"F",2004,75,1108805,24935,,,,,,,25633,894247
"F",2005,75,1134272,24880,,,,,,,25377,920144
"F",2006,75,1065185,23392,,,,,,,24334,884121
"F",2007,75,1081348,23587,,,,,,,23853,870058
"F",2008,75,1035420,22316,,,,,,,23372,861340
"F",2009,75,1076326,22755,,,,,,,22418,842856
"F",2010,75,1100646,22516,,,,,,,23124,899069
"F",2011,75,1105805,22645,,,,,,,22953,905440
"F",2012,75,1133428,22897,,,,,,,22852,913735
"F",2013,75,1181122,23862,817051,17741,220668,5797,1045248,23701,23565,957852
"F",2014,75,1183439,23701,834005,17948,204660,5450,1046610,23561,24000,971263
"F",2001,76,1178268,29080,,,,,,,31023,925212
"F",2002,76,1150118,28535,,,,,,,29721,899159
"F",2003,76,1148130,28310,,,,,,,29302,899842
"F",2004,76,1121531,26867,,,,,,,28040,895466
"F",2005,76,1083870,25951,,,,,,,27241,872922
"F",2006,76,1109392,26048,,,,,,,26738,900407
"F",2007,76,1041793,24758,,,,,,,25738,866442
"F",2008,76,1057761,25193,,,,,,,25482,854043
"F",2009,76,1013104,23357,,,,,,,24132,847071
"F",2010,76,1053571,24204,,,,,,,23647,823266
"F",2011,76,1078130,24269,,,,,,,24646,882622
"F",2012,76,1083160,24024,,,,,,,24558,882203
"F",2013,76,1110531,24550,,,,,,,24641,890198
"F",2014,76,1157260,25411,799310,19064,214871,5996,1021547,25241,25278,936270
"M",2001,40,2773552,5641,2156336,3905,368700,1435,2536547,5352,5970,2284503
"M",2002,40,2772425,5654,2144750,3870,370948,1498,2528122,5388,6074,2260679
"M",2003,40,2757108,5426,2122897,3615,372743,1583,2509208,5224,5736,2243727
"M",2004,40,2730438,5148,2086310,3445,378270,1534,2479725,5002,5492,2252988
"M",2005,40,2610942,4995,1969315,3268,372104,1598,2356074,4890,5437,2226254
"M",2006,40,2532246,4694,1905115,3097,356147,1472,2275905,4603,5122,2081774
"M",2007,40,2503478,4365,1873413,2810,349293,1463,2237109,4298,4707,2021075
"M",2008,40,2531527,4251,1883260,2836,347331,1364,2246346,4217,4421,2021855
"M",2009,40,2583897,4432,1937583,3049,331586,1321,2286652,4393,4589,2063870
"M",2010,40,2671453,4423,1987075,3070,348136,1311,2355038,4404,4395,2191249
"M",2011,40,2591633,4371,1885674,2875,359062,1434,2262487,4340,4632,2148028
"M",2012,40,2466851,3995,1764138,2661,343725,1287,2121123,3966,4355,2029390
"M",2013,40,2396210,3777,1694841,2468,341870,1270,2048974,3749,4146,1936508
"M",2014,40,2416419,3919,1656804,2430,396032,1448,2059522,3891,4093,1916261
"M",2001,41,2787194,6158,2152060,4139,378226,1661,2541832,5826,6473,2342019
"M",2002,41,2767911,6281,2156535,4259,361715,1722,2531195,6010,6471,2284301
"M",2003,41,2766771,6067,2133595,4034,374818,1751,2522734,5814,6393,2260614
"M",2004,41,2751682,5801,2106864,3839,380904,1765,2503984,5633,6079,2248606
"M",2005,41,2725290,5690,2072601,3698,385769,1826,2474723,5557,5954,2258597
"M",2006,41,2605947,5289,1965768,3436,369807,1730,2351184,5188,5701,2235552
"M",2007,41,2527552,4884,1901674,3174,354576,1576,2271302,4773,5326,2090954
"M",2008,41,2499113,4671,1870884,3099,345688,1491,2232811,4603,5027,2031178
"M",2009,41,2527276,4680,1894582,3149,330270,1461,2242129,4640,4973,2032646
"M",2010,41,2579465,4517,1921694,3062,340284,1399,2282259,4489,4683,2047818
"M",2011,41,2667030,4737,1963541,3105,367558,1576,2350634,4712,4856,2187138
"M",2012,41,2587262,4566,1887282,2991,356173,1513,2258147,4525,4888,2147646
"M",2013,41,2462856,4280,1753915,2745,350222,1471,2117157,4238,4564,2028536
"M",2014,41,2392433,4218,1640924,2558,397559,1613,2045225,4183,4623,1939916
"M",2001,42,2747289,6470,2126133,4323,368875,1755,2506961,6107,6689,2237740
"M",2002,42,2781036,6640,2152042,4400,370713,1890,2536006,6319,6982,2339185
"M",2003,42,2761630,6589,2144012,4373,366395,1912,2525185,6313,6943,2279589
"M",2004,42,2760704,6310,2116846,4152,383358,1920,2516920,6094,6704,2258953
"M",2005,42,2745881,6197,2092631,3981,388774,2023,2498351,6033,6734,2245748
"M",2006,42,2719600,5968,2068678,3743,383727,2062,2469166,5842,6528,2257544
"M",2007,42,2600658,5583,1960991,3692,368827,1758,2345996,5477,6006,2233912
"M",2008,42,2522668,5226,1897380,3397,352301,1729,2266529,5159,5588,2089575
"M",2009,42,2494442,5152,1881114,3451,329357,1639,2228208,5112,5426,2029246
"M",2010,42,2522596,4787,1878093,3175,339561,1549,2237489,4758,5080,2028653
"M",2011,42,2574948,4950,1897606,3207,360283,1679,2277770,4911,5114,2071160
"M",2012,42,2662293,5039,1963538,3240,366049,1727,2345922,5004,5142,2185851
"M",2013,42,2582696,4809,1874548,3024,364498,1712,2253622,4759,5329,2145858
"M",2014,42,2458576,4575,1695322,2793,410419,1729,2112919,4540,4938,2031325
"M",2001,43,2706580,7065,2090665,4734,364754,1901,2467549,6667,7441,2242083
"M",2002,43,2740819,7144,2124916,4805,362289,1957,2500854,6791,7382,2235579
"M",2003,43,2774396,7235,2139475,4815,374776,2107,2529687,6963,7585,2335874
"M",2004,43,2755041,6900,2125318,4477,376310,2178,2518872,6696,7212,2279113
"M",2005,43,2754394,6986,2102182,4486,391178,2288,2510826,6803,7189,2258382
"M",2006,43,2739684,6604,2088034,4174,386724,2230,2492318,6440,7107,2246886
"M",2007,43,2713632,6359,2062352,4065,383525,2149,2463324,6245,6773,2258746
"M",2008,43,2595075,5853,1955511,3730,367209,1994,2340519,5755,6339,2236079
"M",2009,43,2517442,5601,1906796,3758,335815,1734,2261370,5519,5900,2091675
"M",2010,43,2489290,5228,1863124,3452,339519,1694,2223096,5181,5391,2035990
"M",2011,43,2517809,5157,1854750,3349,357959,1744,2232731,5119,5460,2028670
"M",2012,43,2569998,5270,1896947,3412,359477,1790,2272859,5227,5398,2069535
"M",2013,43,2657254,5485,1948788,3506,376161,1894,2340918,5429,5597,2182953
"M",2014,43,2577887,5259,1810391,3188,430537,2008,2248863,5211,5576,2147656
"M",2001,44,2720235,7565,2100539,5097,363963,2022,2477159,7147,7864,2208570
"M",2002,44,2699515,7524,2088807,5077,358262,2073,2460882,7179,8058,2233678
"M",2003,44,2733675,7812,2111236,5186,367237,2224,2494063,7454,8037,2223641
"M",2004,44,2767161,7429,2120688,4846,384340,2300,2522724,7181,7705,2323552
"M",2005,44,2748141,7500,2108969,4788,384948,2448,2512176,7283,7984,2264181
"M",2006,44,2747408,7451,2095597,4672,390293,2571,2504023,7284,7561,2242649
"M",2007,44,2733080,7141,2081097,4593,386698,2398,2485878,7018,7538,2228489
"M",2008,44,2707273,6801,2055829,4319,382008,2345,2457079,6704,7207,2238412
"M",2009,44,2589222,6269,1964801,4126,350356,2020,2334764,6192,6886,2213137
"M",2010,44,2511841,5797,1888280,3714,346215,1981,2255851,5751,6271,2090267
"M",2011,44,2484062,5650,1838297,3543,359069,2016,2217915,5598,5800,2027163
"M",2012,44,2512652,5515,1852977,3544,357821,1909,2227612,5475,5778,2026572
"M",2013,44,2564728,5628,1882082,3626,369475,1930,2267632,5576,5892,2066137
"M",2014,44,2651769,5620,1879709,3410,447287,2140,2335489,5565,5963,2184235
"M",2001,45,2656232,7976,2044455,5309,357185,2140,2414283,7475,8291,2121944
"M",2002,45,2712670,8371,2099101,5593,356781,2347,2470012,7973,8442,2200968
"M",2003,45,2691991,8149,2075241,5354,362744,2440,2453703,7827,8488,2224414
"M",2004,45,2725863,7988,2091606,5159,376732,2511,2486609,7711,8465,2215272
"M",2005,45,2759732,8330,2104507,5248,392403,2797,2515543,8103,8619,2314057
"M",2006,45,2740641,7688,2101452,4838,384645,2595,2504893,7487,8314,2255226
"M",2007,45,2739957,7794,2087207,4925,390886,2660,2496739,7641,8145,2233025
"M",2008,45,2725939,7441,2073355,4804,385621,2464,2478860,7304,7782,2218446
"M",2009,45,2700472,7305,2064626,4761,364533,2405,2450375,7219,7636,2227071
"M",2010,45,2582953,6680,1944216,4260,361613,2317,2328572,6627,7166,2237450
"M",2011,45,2506044,6106,1862953,3840,365475,2182,2250100,6064,6735,2069751
"M",2012,45,2478412,6025,1836733,3838,358509,2102,2212317,5979,6260,2024091
"M",2013,45,2507137,6009,1837138,3762,368572,2178,2222137,5967,6220,2021957
"M",2014,45,2559100,6149,1813058,3671,440448,2405,2262056,6092,6376,2067223
"M",2001,46,2584946,8536,1980002,5648,348747,2313,2341870,8001,8840,2143311
"M",2002,46,2648256,8720,2042452,5788,350138,2452,2406808,8275,9130,2120188
"M",2003,46,2704299,8886,2083687,5710,362184,2708,2462039,8481,9386,2200290
"M",2004,46,2683842,8695,2056054,5536,371474,2773,2445876,8354,9078,2227648
"M",2005,46,2717875,8813,2074845,5476,385110,3013,2478898,8535,9091,2220792
"M",2006,46,2751402,8550,2095595,5356,392429,2924,2507440,8323,8989,2322962
"M",2007,46,2732953,8467,2092087,5318,386038,2930,2497406,8297,8975,2266159
"M",2008,46,2732163,8234,2078027,5299,390293,2768,2489098,8105,8644,2245998
"M",2009,46,2718498,7903,2081215,5087,368625,2658,2471556,7791,8431,2232877
"M",2010,46,2693167,7687,2041520,4875,377237,2688,2443156,7615,8147,2230982
"M",2011,46,2576273,7214,1917704,4491,381354,2624,2321945,7152,7611,2195885
"M",2012,46,2499938,6651,1860109,4180,365838,2377,2244036,6600,7167,2065705
"M",2013,46,2472387,6555,1819711,4126,370140,2330,2206338,6497,7100,2018553
"M",2014,46,2501128,6471,1768229,3836,439281,2556,2216170,6406,6863,2022698
"M",2001,47,2540367,9123,1947496,6049,340870,2480,2301797,8565,9429,2042517
"M",2002,47,2576410,9330,1977197,6177,342203,2627,2333869,8844,9548,2140507
"M",2003,47,2639536,9625,2027202,6263,355083,2893,2398533,9206,9839,2117276
"M",2004,47,2695413,9639,2063697,6182,370857,3023,2453558,9257,9905,2199700
"M",2005,47,2675147,9194,2038575,5787,379665,3074,2437522,8923,9752,2228342
"M",2006,47,2709062,9344,2066090,5904,384780,3158,2470363,9115,9752,2223663
"M",2007,47,2742852,9117,2085797,5694,393407,3180,2499117,8926,9494,2326976
"M",2008,47,2724486,9075,2081053,5710,386824,3148,2489109,8917,9564,2271170
"M",2009,47,2723929,8863,2085727,5769,372814,2914,2480993,8752,9287,2251625
"M",2010,47,2710595,8721,2056700,5485,381714,3087,2463765,8641,8979,2238248
"M",2011,47,2685480,8342,2012414,5124,398176,3083,2435541,8267,8896,2231566
"M",2012,47,2569059,7596,1913569,4747,381918,2737,2314793,7529,8320,2190557
"M",2013,47,2493287,7473,1841590,4584,378196,2776,2237436,7417,7960,2059088
"M",2014,47,2465832,7178,1748479,4099,442375,2983,2199841,7102,7625,2019306
"M",2001,48,2440732,9626,1870120,6389,325729,2599,2208985,9034,9814,1972847
"M",2002,48,2531244,9771,1943790,6552,334406,2678,2293232,9281,10142,2035358
"M",2003,48,2567080,10150,1961270,6676,347083,2960,2325025,9697,10496,2131053
"M",2004,48,2629911,9949,2007020,6447,363461,3126,2389327,9627,10254,2107717
"M",2005,48,2685774,10224,2045380,6395,378986,3442,2444301,9903,10491,2188567
"M",2006,48,2665953,9993,2028865,6127,379971,3501,2428599,9688,10668,2216534
"M",2007,48,2699718,9843,2054921,6090,386477,3470,2461248,9622,10187,2210559
"M",2008,48,2733735,9820,2074754,6177,393369,3413,2490191,9648,10237,2312020
"M",2009,48,2715411,9697,2087725,6271,369333,3225,2480192,9557,10055,2254796
"M",2010,48,2715066,9334,2059193,5898,387019,3276,2472241,9245,9727,2237734
"M",2011,48,2701874,9148,2026427,5577,402971,3413,2455124,9061,9657,2229381
"M",2012,48,2677138,8867,2006567,5490,399423,3240,2427274,8784,9404,2224991
"M",2013,48,2561463,8296,1893373,4998,395276,3172,2307264,8220,9052,2182629
"M",2014,48,2485814,7870,1768840,4505,451696,3276,2230019,7805,8591,2058243
"M",2001,49,2403561,10069,1834742,6728,322563,2684,2170952,9466,10193,1912415
"M",2002,49,2431106,10339,1865693,6825,319660,2892,2199951,9765,10439,1969476
"M",2003,49,2521473,10800,1928186,7010,338829,3235,2283951,10312,10930,2032378
"M",2004,49,2556930,10487,1941393,6707,354676,3291,2315328,10070,10812,2130419
"M",2005,49,2619962,10915,1988331,6754,371512,3701,2379700,10520,11326,2108325
"M",2006,49,2675550,11226,2034556,6975,379635,3888,2434398,10927,11295,2191446
"M",2007,49,2655960,10544,2017112,6506,381478,3705,2418911,10270,11103,2220829
"M",2008,49,2689875,10696,2043362,6652,386805,3794,2451626,10513,11112,2216356
"M",2009,49,2723915,10517,2081618,6727,375359,3569,2480543,10364,10964,2319302
"M",2010,49,2705714,10473,2059153,6498,384517,3791,2470635,10366,10927,2264671
"M",2011,49,2705732,10173,2028986,6157,407257,3849,2462996,10084,10615,2226118
"M",2012,49,2692726,9915,2019453,5974,404564,3759,2446063,9801,10236,2221281
"M",2013,49,2668271,9671,1984518,5891,413350,3626,2418490,9568,10199,2215891
"M",2014,49,2553167,9093,1815803,5176,472969,3782,2299044,8981,9826,2179993
"M",2001,50,2308155,10412,1763600,6896,306164,2853,2082964,9798,10480,1858963
"M",2002,50,2393492,10775,1830973,7201,315263,3006,2161486,10262,11001,1902885
"M",2003,50,2420767,10999,1849631,7113,324036,3350,2190186,10539,11372,1957066
"M",2004,50,2510673,11213,1908344,7115,345632,3565,2273639,10758,11468,2018146
"M",2005,50,2546443,11529,1923083,7142,362339,3914,2305258,11124,11933,2113557
"M",2006,50,2609047,11486,1976499,7140,372487,3916,2369180,11132,11991,2089893
"M",2007,50,2664324,11606,2021555,7142,381140,4117,2423471,11321,11935,2170086
"M",2008,50,2645416,11353,2004536,7014,382237,4067,2408641,11159,12002,2197224
"M",2009,50,2679179,11241,2048952,7151,368685,3827,2441113,11085,11836,2190333
"M",2010,50,2713398,11279,2051467,6969,391225,4107,2470179,11159,11736,2300354
"M",2011,50,2695241,11266,2027878,6815,404729,4237,2460269,11135,11747,2251877
"M",2012,50,2695559,10762,2020459,6478,409496,4100,2452912,10661,11516,2216795
"M",2013,50,2682811,10731,1995625,6474,419256,4079,2436262,10625,11307,2211106
"M",2014,50,2658600,10564,1900786,6037,496752,4364,2408922,10444,11064,2211607
"M",2001,51,2235251,10783,1678841,7141,308068,2920,2000264,10120,11034,1862989
"M",2002,51,2297743,11462,1758221,7539,300163,3243,2073166,10856,11388,1857726
"M",2003,51,2382717,11748,1814316,7706,319687,3502,2151224,11278,11826,1903885
"M",2004,51,2409768,11811,1829234,7626,331172,3667,2179647,11370,12031,1961738
"M",2005,51,2499460,12320,1888466,7696,353627,4075,2262881,11873,12349,2026203
"M",2006,51,2534914,12348,1909919,7576,363570,4338,2294134,12022,12611,2125890
"M",2007,51,2597561,12270,1964026,7516,373568,4388,2358048,11990,12752,2105021
"M",2008,51,2652718,12597,2007746,7810,382085,4454,2412150,12344,12824,2189639
"M",2009,51,2634063,12395,2009657,7944,364239,4203,2397482,12226,12958,2220328
"M",2010,51,2667938,12100,2017979,7527,384574,4330,2430028,11970,12372,2190766
"M",2011,51,2702119,12217,2018571,7307,411816,4673,2459020,12094,12603,2278457
"M",2012,51,2683975,12150,2018591,7360,406697,4571,2449134,12020,12718,2241462
"M",2013,51,2684797,11912,1995534,7150,424284,4520,2442251,11763,12453,2205825
"M",2014,51,2672080,11524,1910307,6546,503535,4800,2425637,11397,12268,2205405
"M",2001,52,2199438,11159,1656448,7325,301167,3070,1971173,10454,11402,1786849
"M",2002,52,2224468,11569,1673561,7613,301764,3272,1990144,10954,11933,1854284
"M",2003,52,2286281,12126,1741353,8032,304207,3521,2062310,11639,12166,1846875
"M",2004,52,2370969,12543,1793405,8048,326568,3927,2139946,12069,12644,1891504
"M",2005,52,2397957,12764,1810297,8056,337973,4183,2168277,12339,13341,1947260
"M",2006,52,2487140,12942,1875630,7938,354778,4507,2251008,12539,13362,2010094
"M",2007,52,2522566,13131,1896544,8113,364925,4580,2282112,12795,13327,2107225
