cz,czname,pop2000,fips,statename,stateabbrv,le_agg_v1_F,le_raceadj_v1_F,le_agg_v2_F,le_raceadj_v2_F,le_agg_v3_F,le_raceadj_v3_F,le_agg_v4_F,le_raceadj_v4_F,le_agg_v5_F,le_raceadj_v5_F,le_agg_v6_F,le_raceadj_v6_F,le_agg_v7_F,le_raceadj_v7_F,le_agg_v8_F,le_raceadj_v8_F,le_agg_v9_F,le_raceadj_v9_F,le_agg_v10_F,le_raceadj_v10_F,le_agg_v11_F,le_raceadj_v11_F,le_agg_v12_F,le_raceadj_v12_F,le_agg_v13_F,le_raceadj_v13_F,le_agg_v14_F,le_raceadj_v14_F,le_agg_v15_F,le_raceadj_v15_F,le_agg_v16_F,le_raceadj_v16_F,le_agg_v17_F,le_raceadj_v17_F,le_agg_v18_F,le_raceadj_v18_F,le_agg_v19_F,le_raceadj_v19_F,le_agg_v20_F,le_raceadj_v20_F,le_agg_v1_M,le_raceadj_v1_M,le_agg_v2_M,le_raceadj_v2_M,le_agg_v3_M,le_raceadj_v3_M,le_agg_v4_M,le_raceadj_v4_M,le_agg_v5_M,le_raceadj_v5_M,le_agg_v6_M,le_raceadj_v6_M,le_agg_v7_M,le_raceadj_v7_M,le_agg_v8_M,le_raceadj_v8_M,le_agg_v9_M,le_raceadj_v9_M,le_agg_v10_M,le_raceadj_v10_M,le_agg_v11_M,le_raceadj_v11_M,le_agg_v12_M,le_raceadj_v12_M,le_agg_v13_M,le_raceadj_v13_M,le_agg_v14_M,le_raceadj_v14_M,le_agg_v15_M,le_raceadj_v15_M,le_agg_v16_M,le_raceadj_v16_M,le_agg_v17_M,le_raceadj_v17_M,le_agg_v18_M,le_raceadj_v18_M,le_agg_v19_M,le_raceadj_v19_M,le_agg_v20_M,le_raceadj_v20_M,sd_le_agg_v1_F,sd_le_raceadj_v1_F,sd_le_agg_v2_F,sd_le_raceadj_v2_F,sd_le_agg_v3_F,sd_le_raceadj_v3_F,sd_le_agg_v4_F,sd_le_raceadj_v4_F,sd_le_agg_v5_F,sd_le_raceadj_v5_F,sd_le_agg_v6_F,sd_le_raceadj_v6_F,sd_le_agg_v7_F,sd_le_raceadj_v7_F,sd_le_agg_v8_F,sd_le_raceadj_v8_F,sd_le_agg_v9_F,sd_le_raceadj_v9_F,sd_le_agg_v10_F,sd_le_raceadj_v10_F,sd_le_agg_v11_F,sd_le_raceadj_v11_F,sd_le_agg_v12_F,sd_le_raceadj_v12_F,sd_le_agg_v13_F,sd_le_raceadj_v13_F,sd_le_agg_v14_F,sd_le_raceadj_v14_F,sd_le_agg_v15_F,sd_le_raceadj_v15_F,sd_le_agg_v16_F,sd_le_raceadj_v16_F,sd_le_agg_v17_F,sd_le_raceadj_v17_F,sd_le_agg_v18_F,sd_le_raceadj_v18_F,sd_le_agg_v19_F,sd_le_raceadj_v19_F,sd_le_agg_v20_F,sd_le_raceadj_v20_F,sd_le_agg_v1_M,sd_le_raceadj_v1_M,sd_le_agg_v2_M,sd_le_raceadj_v2_M,sd_le_agg_v3_M,sd_le_raceadj_v3_M,sd_le_agg_v4_M,sd_le_raceadj_v4_M,sd_le_agg_v5_M,sd_le_raceadj_v5_M,sd_le_agg_v6_M,sd_le_raceadj_v6_M,sd_le_agg_v7_M,sd_le_raceadj_v7_M,sd_le_agg_v8_M,sd_le_raceadj_v8_M,sd_le_agg_v9_M,sd_le_raceadj_v9_M,sd_le_agg_v10_M,sd_le_raceadj_v10_M,sd_le_agg_v11_M,sd_le_raceadj_v11_M,sd_le_agg_v12_M,sd_le_raceadj_v12_M,sd_le_agg_v13_M,sd_le_raceadj_v13_M,sd_le_agg_v14_M,sd_le_raceadj_v14_M,sd_le_agg_v15_M,sd_le_raceadj_v15_M,sd_le_agg_v16_M,sd_le_raceadj_v16_M,sd_le_agg_v17_M,sd_le_raceadj_v17_M,sd_le_agg_v18_M,sd_le_raceadj_v18_M,sd_le_agg_v19_M,sd_le_raceadj_v19_M,sd_le_agg_v20_M,sd_le_raceadj_v20_M,count_v1_F,count_v2_F,count_v3_F,count_v4_F,count_v5_F,count_v6_F,count_v7_F,count_v8_F,count_v9_F,count_v10_F,count_v11_F,count_v12_F,count_v13_F,count_v14_F,count_v15_F,count_v16_F,count_v17_F,count_v18_F,count_v19_F,count_v20_F,count_v1_M,count_v2_M,count_v3_M,count_v4_M,count_v5_M,count_v6_M,count_v7_M,count_v8_M,count_v9_M,count_v10_M,count_v11_M,count_v12_M,count_v13_M,count_v14_M,count_v15_M,count_v16_M,count_v17_M,count_v18_M,count_v19_M,count_v20_M
11001,"Mobile",599405,1,"Alabama","AL",78.3175,79.82469,81.05575,82.2607,82.61439,83.57282,82.93256,83.86196,81.81453,82.5883,82.22935,82.98053,82.69467,83.41074,82.79753,83.43729,83.80576,84.3484,84.88152,85.4108,83.71187,84.2757,84.68604,85.14668,85.85689,86.27074,87.07887,87.43642,84.55405,85.01331,86.74989,87.10461,87.88972,88.20916,86.3716,86.83152,86.60279,86.87455,87.96794,88.27884,72.033,73.67294,73.63587,75.01566,74.66546,75.91159,74.7732,75.84502,77.47096,78.33255,77.79879,78.59575,78.39838,79.19078,79.79077,80.43921,79.74556,80.3431,81.17885,81.77602,80.89224,81.46252,80.63808,81.14971,81.89736,82.37958,83.28332,83.72065,83.94551,84.35173,82.30733,82.76204,83.65576,84.08453,84.41321,84.85854,84.42411,84.72278,84.37955,84.79187,.5636825,.5599317,.5626126,.5556745,.5635759,.548505,.6368577,.6055306,.656652,.6395512,.6726193,.6496468,.7505063,.7217597,.7641304,.7364317,.792381,.7661591,.8151358,.7793275,.8381405,.8058884,.8486173,.8127586,.8328499,.7971902,.790329,.7534841,.9520341,.9125748,.8805022,.8408417,.915405,.8712023,1.246091,1.185663,1.181194,1.134903,1.180919,1.122735,.4398291,.4544794,.4320662,.4501451,.4538495,.4624475,.4417681,.4573047,.5559757,.5485524,.5594593,.5575802,.5935261,.5843062,.6179259,.6100929,.6427792,.635734,.6583157,.6390539,.7092563,.6900827,.7247967,.7157444,.70763,.6882457,.7910925,.7676347,.7415199,.7161199,.8851787,.8649619,.87161,.8449009,.9702279,.9343586,1.01285,.9816802,1.16674,1.128686,82404,108792,116608,102482,90361,79296,74434,73421,71835,68938,67602,67283,66217,64910,63733,60919,57307,51183,45034,47100,72020,81441,82471,78635,77976,77081,75151,74503,72740,70929,70368,68799,66583,64146,62395,59340,53856,47328,42528,43810
11101,"Montgomery",367927,1,"Alabama","AL",77.70077,79.69117,79.1072,80.92081,79.72536,81.30872,81.40824,82.53209,83.64874,84.50073,81.85685,82.6552,82.59724,83.39525,83.421,84.15311,84.9422,85.46898,83.72809,84.34544,84.67088,85.32789,86.25208,86.80675,84.17696,84.78046,83.55414,84.13198,86.05842,86.51833,86.05636,86.51836,85.26771,85.77772,86.52047,86.95714,87.52163,87.90578,89.03256,89.17059,71.23457,73.29842,71.68782,73.77338,74.21211,76.02565,75.05235,76.42618,74.96989,76.01585,76.77131,77.82027,76.73051,77.66803,77.64203,78.51234,77.31924,78.04813,79.33343,80.04793,79.31978,80.05415,79.32379,79.97559,80.55579,81.18707,81.42243,81.99274,82.87067,83.39614,84.1403,84.60941,83.24075,83.74586,83.93526,84.39353,83.55037,84.0386,84.69871,85.04386,.8320996,.8333937,.716787,.7249014,.7417408,.7444213,.8537713,.8400329,.849938,.82553,1.002517,.9798476,1.019553,.9893516,1.079335,1.046907,.9377698,.9128006,.9918235,.9635621,1.039597,.9996503,1.061301,1.010084,1.061537,1.021634,1.195718,1.152219,1.235828,1.183297,1.105126,1.057842,1.206355,1.153937,1.178205,1.11987,1.242014,1.176644,1.174118,1.13909,.5931694,.6340983,.530913,.5659879,.6111417,.6367215,.6494088,.6585047,.6497089,.6598104,.7607481,.7597664,.7439157,.7500913,.8007262,.8000017,.8062603,.8023034,.9063882,.8995599,.9049215,.893416,.9531339,.9555078,.9403087,.9263391,1.022793,.999713,.9504138,.9198449,1.036134,1.000807,1.078706,1.045135,1.168858,1.129131,1.216232,1.174187,1.31077,1.26656,38716,60604,65547,57834,54944,50474,46727,45579,44354,41107,39318,39211,40327,40135,41553,40822,40248,37359,31950,27868,35585,49570,48083,45004,45047,44025,42675,41047,38875,37847,38014,37851,38977,39537,40448,39372,37868,34212,28938,25605
11302,"Baltimore",2512431,24,"Maryland","MD",78.40199,80.04824,79.06913,80.44546,80.33057,81.39661,80.58192,81.49523,81.87402,82.78037,82.40641,83.12342,82.28316,83.01209,83.46272,84.15466,83.40279,84.02976,84.2824,84.82265,84.25988,84.77289,84.64017,85.10599,85.28855,85.74261,85.67545,86.11211,86.06582,86.40154,86.08198,86.36798,87.24685,87.4677,87.68359,87.85455,88.29096,88.45854,89.00878,89.10197,72.30859,74.0747,73.49088,74.99325,74.06361,75.26664,74.75372,75.76842,76.34264,77.36133,77.03954,77.89283,78.44909,79.24045,78.71564,79.50308,79.74024,80.4302,79.95943,80.59105,80.21951,80.8029,80.71965,81.25893,81.95374,82.47073,82.54061,83.03394,83.23164,83.63593,83.22845,83.5966,84.55912,84.86299,85.36699,85.61966,85.95404,86.19629,86.94776,87.12206,.3416107,.3569463,.3658195,.3834961,.3640155,.3668931,.3799442,.3864056,.3896575,.3881822,.3746247,.3709662,.3726601,.3702877,.3649793,.3584537,.3948241,.3896544,.3919905,.3800012,.3822001,.3701813,.3902517,.3782145,.3884757,.3741316,.3577281,.3457773,.3673131,.3554096,.4027068,.3941127,.3745579,.36467,.3445251,.3368075,.3428018,.3326727,.3719059,.3645135,.2646506,.2841049,.262045,.286386,.2908967,.3073017,.2919424,.3054889,.3061192,.3125823,.307349,.3081246,.3337062,.3340647,.3469271,.3442067,.3426563,.3389415,.3356847,.3330305,.346963,.3459605,.3469253,.3437337,.342813,.334579,.3438623,.3343498,.3494414,.3407116,.3557768,.3501059,.3143024,.3056839,.3183858,.3117373,.3285693,.3175862,.3621187,.3504198,245371,226079,226874,244580,269430,294479,306160,307478,307441,305174,304058,309684,323369,338418,357527,384229,422999,470830,513054,421758,237022,213119,206886,217646,230459,238576,242800,250939,258230,263733,269747,278007,292610,312405,338195,373390,415425,463443,492122,391281
11304,"Washington DC",4632415,11,"District of Columbia","DC",81.67397,82.54867,82.41891,83.03425,82.37753,82.4874,83.18926,83.27601,83.05117,83.19971,83.46566,83.299,83.76202,83.95299,84.29034,84.39482,84.04667,84.06973,84.43239,84.50484,84.91651,84.94999,85.34704,85.29587,85.40051,85.34932,85.84254,85.78888,86.72205,86.64863,86.63339,86.53992,86.99228,86.88142,87.55771,87.41811,88.71999,88.60283,89.3753,89.29461,76.13942,77.22406,77.08007,77.90573,77.34209,77.71762,77.74184,78.1285,78.23569,78.63733,78.80643,78.98196,79.21722,79.65443,79.81647,80.16743,80.39217,80.65627,80.48843,80.79191,80.94556,81.2199,81.50841,81.71323,81.26598,81.47968,82.38491,82.57855,83.07047,83.23615,83.92363,84.06676,84.35727,84.4816,85.3399,85.42502,86.97391,87.04916,87.7711,87.8548,.2821982,.3054531,.3134444,.3399892,.3328592,.3527835,.3302698,.3628379,.3268597,.3531668,.3332114,.3656649,.3319561,.3549192,.3119218,.32856,.3195475,.3335906,.3135473,.3255494,.3195492,.3277369,.3125139,.3250571,.2961369,.3059285,.298564,.3143283,.2514846,.2668655,.2653653,.2795118,.2451994,.263688,.2246886,.2412078,.1886563,.2038602,.1801184,.1883766,.2382239,.2648144,.2677385,.2890529,.2713176,.2870513,.2746951,.2931345,.2874401,.2983631,.2811338,.3000845,.2931462,.3065945,.2768629,.2897475,.298593,.3054308,.2978136,.3004333,.2930066,.2936852,.3073562,.3088487,.2992719,.3029912,.2837205,.2900843,.2589423,.2637433,.2490677,.2531474,.2280529,.2327164,.2095761,.2165153,.1620741,.1655339,.1842816,.1835549,390141,387243,380931,395178,412781,437947,465624,497098,524030,546242,554829,564304,589663,624017,678361,754471,882650,1110271,1492198,1405312,385977,389332,375840,387594,402047,415431,427655,436592,443913,449167,452980,468726,497828,549546,621425,723919,880101,1128912,1485286,1286494
11500,"Jackson",303839,26,"Michigan","MI",77.48908,77.90198,80.97421,81.35435,80.82574,81.31781,81.0228,81.61773,80.80459,81.29771,83.64117,84.07401,82.175,82.67477,84.65288,85.04299,82.22345,82.58845,85.46481,85.71716,85.2916,85.61813,85.82169,86.11283,85.8641,86.19738,85.93596,86.23509,86.43711,86.73943,86.17245,86.51691,88.30608,88.50173,88.01872,88.14683,88.01593,88.19812,87.33601,87.48003,73.8092,74.33621,73.42517,73.90947,75.60647,76.10998,76.38498,76.95912,77.08308,77.56472,78.94041,79.39019,79.09802,79.56415,80.77754,81.19724,80.81005,81.13829,81.88943,82.19182,83.21481,83.50941,82.60132,82.92329,84.58662,84.83723,83.77167,84.06573,84.55282,84.8472,83.01319,83.36542,82.92432,83.25378,85.81844,86.00945,84.57718,84.81618,88.10064,88.23505,.8288584,.8033733,.9338364,.9033366,.9885837,.9556591,1.040069,1.004667,.9739549,.9463974,1.078622,1.029067,1.015792,.9784366,1.023176,.9733354,1.017787,.9798204,1.011342,.966915,1.078281,1.03417,1.00831,.9613539,1.290501,1.237554,1.098371,1.051973,1.090619,1.039284,1.214807,1.15541,.9954093,.9521261,1.16037,1.124159,1.415479,1.357859,1.777284,1.717872,.7015183,.6979296,.6910535,.6953034,.8115016,.8063397,.7957036,.7898833,.780048,.7782608,.8282387,.8134186,.8126866,.7945876,.8683131,.8466558,.8413228,.8237944,.8992781,.8761386,.8765884,.8537301,.9611344,.9375317,.8527368,.8274544,.9775888,.9488884,1.121109,1.083282,1.147122,1.118333,1.185658,1.155976,1.151669,1.12088,1.508029,1.46883,1.259622,1.211128,33818,31722,32008,35206,36686,38155,38721,39467,39855,42312,44814,46368,46151,45237,43760,42098,38703,32933,23180,14774,29673,27419,28813,30905,33465,36737,39448,40136,42215,44485,46682,46506,45670,44502,42713,40559,37230,30411,20941,13254
11600,"Detroit",5327827,26,"Michigan","MI",76.99765,78.42751,78.9079,80.07614,79.70941,80.62914,80.57848,81.33495,80.80476,81.55617,82.2278,82.86308,82.64214,83.23624,83.30598,83.88383,83.70775,84.25871,84.08199,84.58063,84.59584,85.08109,85.12189,85.60883,84.88146,85.36513,85.579,86.02404,85.72107,86.11217,85.87187,86.2308,86.44557,86.771,86.64614,86.95318,87.53651,87.72596,88.57584,88.64363,70.91863,72.30579,73.49183,74.67055,74.12991,75.0832,75.24055,76.06086,75.78624,76.58988,76.93367,77.64189,78.16591,78.81084,79.49179,80.1096,79.73488,80.33249,80.46121,81.00524,80.67587,81.2194,81.063,81.61708,81.49696,82.02802,81.79951,82.31466,82.4706,82.9234,82.91898,83.33497,83.64626,84.03603,84.23763,84.60592,85.47068,85.74313,86.35378,86.53344,.1929554,.2137993,.2378616,.2540597,.2548398,.2559871,.2599597,.25849,.2539232,.253331,.2754884,.2713521,.2713511,.2633816,.2630125,.2568173,.2667421,.2596675,.2719544,.2666188,.2703409,.263585,.2802004,.2705344,.2654899,.2579568,.2687376,.2590912,.2731317,.2649871,.2753645,.2692661,.2651801,.2570197,.2620461,.2518954,.2667491,.2633074,.273065,.2715635,.1389583,.1631209,.1927951,.2103927,.2070502,.2168249,.2229032,.2296859,.2025917,.2121683,.2003666,.2053213,.2292235,.230723,.2362743,.2371626,.2422277,.2408618,.2428969,.2445119,.2472133,.2467048,.2407531,.2378199,.2402244,.2398013,.2456951,.241242,.246325,.2422348,.2357268,.2329224,.2320362,.2279286,.2340084,.2280595,.2501847,.2414358,.2904696,.2835933,635307,565248,530171,524512,547935,582893,602700,606096,596272,600437,618245,643413,669652,692406,720642,758022,804397,845592,795380,625989,565117,477184,449411,437462,454921,497407,513216,499600,517071,544995,586571,627309,666394,703318,741227,781280,822319,841779,768715,604959
11700,"Lansing",447728,26,"Michigan","MI",77.97881,78.23949,80.46843,80.69131,78.13539,78.379,81.71097,82.11918,81.39697,81.77927,81.26572,81.63659,82.33347,82.78632,83.95172,84.31694,84.35777,84.67869,85.18159,85.50696,86.43024,86.69936,85.06351,85.36857,86.00291,86.33263,87.00349,87.30022,85.75388,86.05356,86.97514,87.19201,87.03161,87.22831,88.38274,88.46175,88.83877,88.97475,87.69962,87.75439,72.19164,72.50218,73.90613,74.2164,75.87741,76.16719,76.95133,77.38707,77.50886,77.88289,77.39639,77.76479,79.32716,79.75969,81.64427,81.99284,80.92059,81.27251,81.87883,82.25173,82.10958,82.47692,82.07343,82.42182,83.51228,83.85065,83.19762,83.55834,83.51104,83.82938,84.22535,84.50285,85.30053,85.50492,86.02604,86.1504,88.01581,88.16386,87.68636,87.81326,.7612417,.7437664,.8884184,.8675083,.8292615,.8106413,.9372631,.904633,.9220333,.8948941,.9900277,.9618258,.9246578,.8888185,.910796,.8754855,.849606,.819745,.8795286,.8428574,.7799401,.7452247,.9218183,.8864164,.9516082,.9097306,.9139524,.8709022,.9408528,.9053582,.9458498,.9117018,1.03345,.997973,.9263132,.9040721,1.001713,.9674694,1.314454,1.286269,.5753846,.5695872,.6931399,.6859406,.7823941,.7698376,.8369949,.8250009,.7527826,.7412181,.6827539,.676451,.7357458,.7171961,.7675647,.7454716,.7667109,.748318,.8381157,.8169802,.8061888,.7807584,.7939602,.7690207,.7806818,.7527461,.8431914,.8171318,.8423984,.8173345,.9605091,.9323133,.8056188,.7847719,.8460702,.8275826,.7861126,.7587061,1.086336,1.056376,45381,38727,40408,41350,43154,46962,52826,58660,59397,60100,63434,65574,66974,67290,67997,68358,69155,63244,50508,37332,41048,35515,35922,36977,39619,45365,48979,49058,51393,55911,60472,63728,65559,65135,65926,66450,65878,59025,45564,33882
11900,"Saginaw",540707,26,"Michigan","MI",78.07034,78.77969,80.48872,81.06777,80.09322,80.503,81.49274,81.99448,83.51604,83.91199,82.83632,83.19296,83.66421,83.98096,83.84049,84.23844,84.64527,85.00894,85.83366,86.11741,86.39565,86.66269,83.81986,84.22266,87.34431,87.60433,86.55711,86.85352,86.9006,87.18707,87.56338,87.83483,86.35943,86.69604,86.7585,87.08466,88.72087,88.84913,87.85108,87.8692,71.54443,72.28297,73.32393,73.9599,74.19332,74.63542,76.07235,76.5817,77.73046,78.17313,77.90545,78.286,79.8889,80.244,81.25977,81.65043,80.61927,81.04041,81.40131,81.76571,81.93192,82.29309,82.91059,83.25754,82.08734,82.47791,83.37817,83.72614,82.65018,83.02923,82.4732,82.86091,84.85715,85.16417,84.32499,84.6443,85.299,85.55877,85.83748,85.9901,.5822715,.5643345,.6169385,.5986126,.6388774,.6224649,.7261219,.7011633,.7244689,.6961083,.768724,.7431712,.7013996,.6742153,.7344426,.7045097,.7084421,.6763465,.7339542,.7011395,.7349699,.7034181,.853481,.820853,.8242007,.7844151,.8530089,.8165093,.8512017,.8119026,.8507023,.8082326,.9905902,.9472601,1.053791,1.00879,.8768767,.8475717,1.160501,1.141481,.4461363,.4500174,.5377201,.538881,.5031746,.5042883,.5573637,.5484201,.530529,.5266657,.4904766,.4843366,.5785093,.5679892,.6203349,.605917,.6335678,.6229893,.6754647,.6580007,.7054797,.6864802,.7341701,.7138891,.7777203,.756608,.7346176,.7093229,.7763277,.7502415,.8249443,.8025711,.8130847,.7849306,.8745325,.8429443,1.107395,1.073514,1.148545,1.114192,67101,65545,69471,68902,68164,68604,70399,71075,71023,72375,74407,74928,73291,71885,68944,67420,65368,58518,47214,37899,57408,52277,55803,56046,62956,71502,72826,70444,69800,71139,73279,73281,71796,70598,68397,66295,63198,54850,43460,35545
12100,"Kalamazoo",509606,26,"Michigan","MI",77.14629,78.03529,80.9776,81.66744,80.80005,81.29514,81.04009,81.60313,82.2569,82.79957,82.49046,82.97506,84.51959,84.8709,83.62547,84.10368,84.44727,84.8542,84.33494,84.74968,83.91238,84.34215,86.60314,86.8794,84.2909,84.70255,86.03643,86.40338,87.96088,88.21111,86.64886,86.97281,87.36819,87.62486,88.03162,88.17005,88.78351,88.89175,89.19292,89.24409,71.94693,72.84704,73.74462,74.51762,75.26763,75.81124,76.81796,77.39427,77.00723,77.58252,78.95182,79.43416,78.19704,78.64642,80.1329,80.61261,81.98919,82.38081,82.52448,82.90842,82.66453,83.04403,81.64182,82.01871,82.31626,82.72984,83.76786,84.13725,83.68784,84.07058,83.92558,84.31027,84.93878,85.25114,85.30949,85.53462,87.15282,87.31257,88.89167,88.95586,.630954,.6147818,.766782,.7350376,.7959511,.7705836,.8340462,.8070822,.8521879,.8252698,.8403557,.8048257,.7249601,.6915604,.8986017,.8635147,.8329109,.79673,.8360785,.7969347,.865324,.8309608,.8290242,.7924373,.9090794,.8748868,.8914723,.8523133,.7973048,.7545037,.9748073,.929242,.9185887,.8793598,.8748613,.8475782,1.094157,1.062629,1.183739,1.15705,.4958291,.5031516,.5944013,.5937849,.6473294,.6421106,.661943,.6521693,.6510372,.64348,.7101108,.6964929,.6483369,.6381506,.669701,.652073,.6693897,.6447328,.7106264,.689919,.7066549,.6831825,.7135329,.6966493,.7885968,.76781,.7699031,.7413048,.8361537,.8075411,.9343595,.8997316,.8683865,.8387726,.9784613,.9482017,.8502948,.8198608,.7650046,.746648,59110,51349,50659,54114,57163,60240,61793,61879,62920,64375,68420,70555,70749,70182,67271,66416,62940,57100,48564,42228,53540,46722,46575,49522,51703,55460,58938,60746,62459,64138,67220,68882,68858,66443,64717,63058,59284,53073,45852,39633
12200,"Grand Rapids",1286045,26,"Michigan","MI",78.59763,79.19885,80.48658,81.03699,80.1445,80.69416,82.61785,82.98645,82.97174,83.35677,84.39133,84.6573,84.77102,84.97339,84.74152,84.96655,85.38368,85.63168,84.97114,85.26347,86.94163,87.16989,85.50673,85.80933,86.8115,87.08834,87.15632,87.41776,86.75475,87.03785,87.29843,87.55476,88.09061,88.30672,87.27866,87.5471,88.95524,89.14738,88.01694,88.23009,73.25986,73.88739,74.32353,74.90614,76.58537,77.09946,77.59409,77.98063,78.11676,78.52322,79.54556,79.87169,79.66386,79.92945,80.9654,81.22237,82.3457,82.6151,82.06419,82.37912,82.65496,82.95931,83.96327,84.23532,83.35879,83.68804,83.64757,83.98771,84.70555,84.99191,84.53741,84.83214,85.6246,85.885,84.76632,85.06378,86.4554,86.71434,87.8,87.98027,.4819134,.4675528,.5313987,.5128071,.5631011,.5487061,.5814792,.5606943,.5516279,.5312992,.5247133,.5053225,.5203238,.5088955,.5181702,.5018845,.5106466,.4912411,.5546957,.5317633,.4989609,.4776171,.5492854,.5294175,.5522642,.528359,.5273406,.5036214,.6064163,.5799217,.6146216,.5869731,.5893432,.5622708,.7518286,.7205784,.6203656,.5937628,.7207115,.6916922,.3635254,.3658077,.4049852,.4071385,.4573634,.4544587,.4650994,.4590611,.4504908,.4463336,.4538283,.4458366,.4326382,.4263872,.4698712,.462343,.4550914,.4422146,.442463,.4332453,.4872926,.4775069,.4760171,.4651163,.5136803,.5027385,.5324136,.5181628,.5135645,.4994468,.5555044,.5402654,.570717,.5546381,.6422558,.6226492,.6837808,.657976,.5792121,.5567589,132258,115280,117614,129788,141432,150792,157644,164007,168096,175821,187696,196621,198485,195676,186158,172833,157213,138202,116230,112374,119386,105261,109842,120719,131916,145895,159102,166388,174158,183874,192745,196916,195734,188257,178402,165591,148190,131072,110925,106740
12501,"Dayton",1179009,39,"Ohio","OH",77.00715,78.07011,78.13778,79.04505,79.45311,80.08768,81.87803,82.43456,81.64577,82.23767,82.93039,83.48661,83.24216,83.78775,83.34953,83.87391,84.88116,85.33096,84.76369,85.22321,84.41272,84.87377,85.69898,86.07866,85.10982,85.50242,86.81396,87.12686,86.56715,86.91148,86.50546,86.8708,87.29473,87.62365,87.56446,87.88083,86.48026,86.79591,88.53315,88.64793,71.08388,72.20331,73.13287,74.03712,73.63481,74.33773,75.27241,75.92965,76.46535,77.10902,78.15773,78.78923,79.24557,79.83598,80.01867,80.56269,80.2529,80.77931,81.59746,82.0941,82.31865,82.77837,82.37483,82.82291,81.92899,82.3835,82.12218,82.56162,83.35955,83.78263,84.53789,84.93726,85.09433,85.47343,84.16408,84.57842,86.76836,87.02907,87.02669,87.22653,.4599752,.4547016,.4669772,.4598897,.4756836,.4691538,.4637966,.4474743,.4903944,.4770912,.4851145,.4661719,.4671334,.4513565,.4838572,.4680493,.4771951,.4555784,.4894467,.4671383,.5293787,.5077029,.499815,.4771107,.5555763,.5321267,.5294667,.5059651,.5647795,.5391676,.5910329,.5658761,.6263946,.5974461,.6234825,.5912362,.835707,.7999468,.7100588,.6861998,.338532,.3490136,.357812,.3665299,.3521213,.3617364,.3647847,.3674354,.3621713,.3576674,.3622378,.3633359,.3778052,.3771918,.4256668,.418653,.4424741,.434235,.4526019,.4405318,.4825148,.4685083,.5042214,.4938172,.5170687,.5042626,.4993075,.4868402,.5529897,.5378346,.5774787,.5550179,.6087928,.58846,.6383316,.6142962,.6171367,.5925213,.661467,.6325514,115062,115758,129598,145847,157631,167530,171570,170716,166850,167809,168010,165347,163525,162303,156643,148005,133788,118119,100238,77412,109953,107123,113009,125444,145204,159285,163695,162522,162156,162657,162517,161575,161057,158311,151341,141298,125625,109983,91351,70967
12701,"Cincinnati",1954800,39,"Ohio","OH",76.32948,77.50012,78.76705,79.73311,79.4806,80.1908,80.90122,81.57447,81.41222,82.01988,81.47742,82.05427,82.58643,83.14571,83.4676,83.97709,83.82583,84.28534,83.71809,84.15034,84.98823,85.41631,84.28247,84.79059,85.18063,85.63922,85.35786,85.807,85.15101,85.57356,86.63531,86.96431,86.32472,86.67393,87.29375,87.58735,87.48997,87.69025,88.67737,88.79241,71.14105,72.30388,73.7878,74.78314,74.15285,74.89375,74.98475,75.69829,76.27232,76.92914,77.69386,78.28782,78.84912,79.43148,79.32212,79.87091,80.24812,80.75227,79.52274,80.01028,80.90712,81.39777,82.09109,82.58495,83.22297,83.6731,83.16409,83.6143,83.48881,83.89867,83.9752,84.36508,84.81971,85.17746,84.98063,85.33868,85.2297,85.4999,86.36962,86.58561,.3691785,.3697738,.4049913,.4014921,.4054732,.4030803,.4119167,.4030704,.3915082,.3828486,.4002122,.3880647,.3926836,.3800171,.3959493,.3824244,.3855633,.3710133,.4358253,.424307,.4254792,.4075155,.4553708,.4400389,.4575501,.4417225,.463241,.4411362,.5002399,.4828232,.479683,.4595023,.5343668,.5147311,.5039213,.4809793,.5462887,.5271925,.4804697,.4674319,.2692944,.2825295,.3135369,.3205792,.3254762,.3297753,.3015792,.3064965,.3127914,.3166684,.330349,.3304493,.3329785,.3287557,.3573569,.3549319,.3689536,.3660604,.384517,.3800932,.3916771,.3883168,.3841768,.3783182,.4027114,.3920869,.4208077,.4102257,.4260003,.4137645,.4693041,.4553609,.4681666,.4521836,.480013,.4648,.4882222,.4757416,.5011992,.485673,187514,177846,187333,211109,235731,251947,259364,261092,260685,260013,262423,265514,269110,272807,274072,272342,264783,254311,252653,249275,187621,172288,175177,192080,208849,224198,236102,240329,242753,244321,250006,257557,263083,266695,266071,263968,256054,247732,246420,240048
