st,stateabbrv,statename,year,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
1,"AL","Alabama",2001,80.97743,81.73687,83.79784,84.27046,85.22591,85.57561,86.63757,86.91793,73.85774,74.85247,79.58082,80.15959,83.17659,83.56535,84.54559,84.86827,.7498226,.7403197,.9383134,.9118426,1.140314,1.101185,1.445783,1.396279,.5332242,.5453061,.7622607,.7527435,.941624,.9139959,1.277105,1.238102,194089,158475,147619,120205,165515,160929,143569,113529
1,"AL","Alabama",2002,81.55089,82.29413,85.19556,85.62631,86.9556,87.24429,85.93871,86.2417,73.57462,74.57912,77.9884,78.60052,83.27456,83.66674,84.38531,84.71497,.7269258,.714944,.8475812,.8221384,1.027941,.9882638,1.449273,1.39827,.524128,.5333803,.7691463,.760464,.8937714,.8687938,1.313188,1.272126,204031,162615,148026,116868,172638,163867,145058,110186
1,"AL","Alabama",2003,80.6691,81.44639,84.45503,84.91285,84.41888,84.79807,87.63429,87.87489,75.40674,76.4386,79.65546,80.26294,83.42928,83.8232,83.6078,83.96667,.7601215,.7460535,.8995217,.8720052,1.182693,1.143557,1.256112,1.209134,.561265,.5633454,.7021222,.689001,.9721331,.9441327,1.291976,1.25297,207635,163953,149117,119178,174545,164215,145901,112692
1,"AL","Alabama",2004,82.7871,83.54853,83.22166,83.73943,85.77566,86.1191,87.28502,87.53855,73.67553,74.74963,79.67188,80.28983,82.53316,82.96522,86.85215,87.1037,.6797273,.6702675,.9781035,.9496133,1.085478,1.04865,1.196613,1.153502,.479943,.4933454,.7953525,.7830092,.96797,.9421917,.9370852,.901302,209570,166413,149730,122762,175617,165009,147526,115676
1,"AL","Alabama",2005,81.995,82.79951,84.92139,85.4022,86.13605,86.47382,87.65756,87.89859,74.46228,75.53976,79.65469,80.29504,82.11211,82.56454,85.02277,85.34641,.7137647,.6995129,.8440631,.8130518,1.031881,.9959372,1.185485,1.14176,.5218531,.5297869,.7509504,.736442,.9666898,.9391387,1.133858,1.095498,209463,167581,151420,126151,174581,166114,148807,119517
1,"AL","Alabama",2006,83.28588,84.08262,85.27169,85.74873,85.88442,86.24054,86.51218,86.80058,74.94566,76.07038,80.80642,81.4341,82.04633,82.51283,84.20623,84.56918,.6188461,.6042618,.7927399,.762458,1.038741,.9990146,1.445874,1.392078,.5288514,.538964,.7103289,.6935322,1.009419,.9859475,1.180069,1.14093,212145,169968,152990,127068,176862,167986,150107,120803
1,"AL","Alabama",2007,83.27286,84.08828,85.84858,86.32239,87.09906,87.41866,85.72547,86.04807,74.35318,75.50362,80.7681,81.41683,83.93549,84.35445,84.68047,85.03654,.6422061,.6258701,.7629617,.7331496,.9277184,.8893277,1.526913,1.470874,.51443,.5248722,.7507226,.7273619,.8727843,.8434617,1.265098,1.222317,214855,171469,154516,129359,178491,168898,152387,123052
1,"AL","Alabama",2008,82.83587,83.73382,85.33945,85.86448,85.894,86.27748,88.87307,89.07434,74.64288,75.85545,81.05785,81.72642,84.00677,84.43873,84.94523,85.30038,.6212806,.6018195,.7097236,.6786689,1.062093,1.019728,1.041243,1.00068,.5147526,.521477,.7274163,.7060733,.8464987,.8156863,1.142038,1.100468,216883,173564,156158,131361,179441,170122,154409,125231
1,"AL","Alabama",2009,81.35422,82.345,84.87272,85.43463,87.53564,87.85999,87.77538,88.03273,73.70947,74.94183,79.8577,80.59159,83.80059,84.25486,84.34903,84.74158,.6198372,.6041833,.7875055,.7565674,.8062236,.7708684,1.349779,1.297787,.4724194,.4822863,.700018,.6842465,.899516,.8682957,1.237721,1.194699,223153,177569,160521,134806,185501,173401,158312,128004
1,"AL","Alabama",2010,83.31232,84.25678,85.19936,85.7678,87.2737,87.62148,88.3681,88.60237,74.05884,75.28465,80.74503,81.46382,82.5268,83.03766,84.51853,84.90801,.5908961,.5726367,.7382619,.7034588,.8165511,.7799143,1.0664,1.020094,.487247,.5035508,.7234604,.7040782,.9341326,.9032925,1.144057,1.102009,217680,176894,160147,135772,181890,171624,158121,129129
1,"AL","Alabama",2011,83.03326,84.01485,86.13215,86.66627,87.80878,88.13795,86.60144,86.91743,75.23126,76.48452,79.52924,80.29613,83.21108,83.70422,85.06775,85.44094,.5832704,.5611414,.6838424,.6492447,.7844659,.7473754,1.40059,1.34428,.5208105,.5292267,.7361244,.7196902,.9229299,.8889346,1.148677,1.104369,214768,176507,159259,135632,179891,169612,157148,128565
1,"AL","Alabama",2012,82.63778,83.65572,84.94592,85.55633,88.08359,88.40367,88.06422,88.31585,74.7432,76.03457,80.15469,80.90952,83.81625,84.29147,85.92519,86.26861,.5920804,.5678166,.7897068,.7513899,.7725555,.7353768,1.089607,1.042513,.5140362,.5246861,.7770236,.7575434,.8850336,.8494752,1.12897,1.08324,212421,176200,159113,136347,177669,168978,158118,129370
1,"AL","Alabama",2013,82.26195,83.3256,85.24842,85.8541,88.15127,88.47634,87.0226,87.32621,74.63306,75.94003,79.2441,80.02623,82.10179,82.6413,86.20051,86.52786,.6023301,.5820811,.7604547,.7227364,.831095,.7895616,1.460036,1.400071,.492371,.5071253,.7527426,.7393271,.9464983,.9187505,1.120128,1.07142,211866,177250,158010,132893,182139,170724,156551,125406
1,"AL","Alabama",2014,82.55949,83.6084,85.62687,86.2153,87.12855,87.50069,88.12717,88.37797,75.29585,76.56824,81.1952,81.91404,83.02232,83.52598,87.4075,87.6731,.5896739,.5617532,.6759101,.6411476,.9275094,.8838279,1.312704,1.257681,.5296653,.5380726,.7733959,.7507126,.9309836,.8971973,.9040805,.8611754,202399,173981,151057,128062,173448,165816,151580,119775
2,"AK","Alaska",2001,86.04274,85.84044,82.33748,82.31258,84.41045,84.18246,86.75902,86.80753,78.72337,78.80679,82.59918,82.79369,80.18698,80.32292,86.09869,86.23465,1.982612,1.981511,2.808089,2.749635,2.462391,2.441001,2.675199,2.614001,1.883946,1.840573,2.241045,2.174768,2.405046,2.363538,1.839944,1.781495,16152,20806,24924,31214,19190,21777,27596,31992
2,"AK","Alaska",2002,86.74393,86.53541,80.76041,80.80453,89.32249,89.14766,88.56802,88.56842,78.82304,78.90601,78.46381,78.72609,84.21545,84.26761,85.55241,85.72091,1.753495,1.763522,3.035923,2.972307,1.809835,1.837909,2.122785,2.082897,1.862871,1.820928,2.128437,2.085997,2.129225,2.08778,1.973714,1.914034,17259,21753,25749,31301,20386,22232,28764,31934
2,"AK","Alaska",2003,84.31139,84.1007,85.66699,85.58404,85.27372,85.04288,82.00671,82.18699,77.16081,77.27293,83.36965,83.54868,81.17433,81.29212,79.65434,79.99159,2.303367,2.285597,2.437235,2.40179,2.888918,2.868309,3.326264,3.264904,1.900652,1.861928,2.153509,2.08429,2.258941,2.220211,2.504259,2.491419,17788,22683,26478,31702,20595,23239,29369,32324
2,"AK","Alaska",2004,83.9938,83.79053,88.17509,88.09527,86.50045,86.28185,91.23225,91.20775,77.35509,77.45926,81.83656,82.04704,84.44209,84.51955,86.92503,87.06063,2.361795,2.335226,2.19346,2.167203,2.720634,2.710985,1.355232,1.336653,1.766603,1.731067,2.082211,2.021064,2.450115,2.402637,1.824099,1.761265,18455,23316,27202,31964,21286,23979,30251,32431
2,"AK","Alaska",2005,84.21471,83.9784,85.77379,85.7075,83.86731,83.62022,87.49517,87.52561,76.62862,76.74271,80.65938,80.9233,86.70511,86.71595,85.35341,85.57415,2.015884,2.003174,2.428923,2.391523,2.708209,2.671203,2.399706,2.34774,1.772207,1.736234,2.189152,2.131973,1.766076,1.732899,2.412122,2.338616,18692,23516,27773,31844,21314,24375,30660,32105
2,"AK","Alaska",2006,85.2233,85.02107,89.26978,89.18044,86.74304,86.51068,89.73344,89.71983,77.4203,77.52149,80.49155,80.77792,82.83405,82.92734,89.73946,89.78299,2.053813,2.043989,1.810152,1.800238,2.309937,2.311265,1.759127,1.727616,1.728969,1.689575,2.283368,2.229124,2.384665,2.340417,1.231174,1.184106,19048,24100,28141,31617,21820,24645,31001,31911
2,"AK","Alaska",2007,85.30624,85.07096,87.44475,87.3353,87.9066,87.68724,89.79039,89.80301,77.94804,78.01688,85.218,85.27665,86.96073,86.93906,85.34863,85.56672,1.63967,1.638798,1.757163,1.741527,2.004481,2.023385,2.164128,2.116354,1.672043,1.633704,1.403233,1.351359,1.314869,1.292781,2.443308,2.370303,18954,24262,28392,31395,21787,24806,31211,31634
