cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
100,"Johnson City",576081,47,"Tennessee","TN",81.80315,82.23678,84.03031,84.42139,86.32217,86.65188,87.82888,88.09465,75.47626,75.96896,80.27342,80.7042,83.00909,83.38158,84.40936,84.76358,.219885,.2203967,.2678174,.2687653,.3314503,.3232076,.4296471,.4119603,.1725134,.1846268,.2130003,.2226624,.2841333,.2803603,.448818,.4320931,469268,448883,364376,202619,446528,456216,341333,187282
200,"Morristown",227816,47,"Tennessee","TN",81.32636,81.76405,83.95644,84.34338,84.87222,85.25085,88.1106,88.28977,74.95651,75.41985,80.14446,80.55089,82.09464,82.46941,84.14157,84.47321,.3287871,.323234,.4025942,.3928564,.5265231,.5085154,.6123719,.5880654,.2576599,.2630057,.3241824,.3265341,.4586596,.4410926,.7330061,.7086179,233428,199116,151926,72675,215500,202248,142344,66137
301,"Middlesborough",66708,47,"Tennessee","TN",82.44048,82.89065,85.68388,85.94981,85.75001,86.09345,86.43436,86.47567,75.58056,76.09891,80.74966,81.10594,83.15485,83.54399,86.84464,86.92237,.6701982,.6438837,.8890359,.8532931,1.260725,1.199692,1.929367,1.889282,.4937935,.494656,.7385785,.7212209,1.211444,1.173253,1.818684,1.774738,59222,42529,25973,9897,59211,43418,24552,9062
302,"Knoxville",727600,47,"Tennessee","TN",80.88081,81.41161,83.72463,84.12418,85.69991,86.08134,88.33041,88.53032,74.50594,75.08934,79.54447,79.98375,83.13363,83.53584,85.45316,85.72937,.2187566,.2207583,.2504233,.2436618,.2919523,.2842178,.2885093,.2783056,.1770323,.1927742,.2149669,.2177853,.2569035,.2569878,.287735,.2827014,505662,511618,487133,419858,466740,485002,472548,397129
401,"Winston-Salem",493180,37,"North Carolina","NC",81.29409,82.03275,84.2243,84.75146,85.66919,86.10728,86.87499,87.21457,75.12552,75.91058,79.74131,80.33028,82.3366,82.83266,85.61615,85.94557,.2783415,.2692875,.2949422,.2862433,.3234194,.3128397,.4291283,.4142197,.2230701,.2318986,.2586595,.2605297,.3168783,.3122052,.372955,.3612933,353513,380424,373239,303196,316688,345396,347951,281565
402,"Martinsville",92753,51,"Virginia","VA",82.29967,83.1584,85.15489,85.64351,86.13053,86.69746,85.24345,85.71341,74.68774,75.74322,82.14489,82.68402,82.43151,83.0819,83.24319,83.7263,.5269955,.5095498,.5755493,.5502416,.8199909,.7748978,1.377982,1.324672,.3951129,.4008224,.5327038,.5176006,.6836793,.6630352,1.174288,1.141008,89396,74119,52717,22792,82853,72945,47929,20207
500,"Greensboro",1055133,37,"North Carolina","NC",81.49236,82.36854,84.17436,84.73731,85.82317,86.26537,87.68008,87.96936,75.1472,76.11208,79.14356,79.78058,82.41628,82.90731,85.0431,85.38944,.1965255,.2005749,.21328,.2073812,.2388049,.231416,.2925575,.2824068,.153852,.1721149,.1865288,.1905064,.2309523,.2306923,.2941474,.2862024,775588,764372,699105,524033,695228,721452,660778,485007
601,"North Wilkesboro",90016,37,"North Carolina","NC",83.35681,83.71017,84.68778,85.09481,86.64033,86.91823,86.64942,87.039,76.81046,77.23505,80.48697,80.94914,82.34325,82.73815,84.14806,84.52425,.5243673,.5023435,.6704803,.6387438,.8944815,.8503283,1.281442,1.212642,.4407169,.436164,.5984388,.5856633,.8374373,.8149732,1.018285,.9802181,79038,72700,51842,27287,79581,73665,47086,24426
602,"Galax",64676,51,"Virginia","VA",82.20316,82.62592,84.88033,85.23945,87.63564,87.88142,89.18664,89.37389,77.35186,77.78432,80.10602,80.55271,83.18304,83.56554,84.97939,85.33348,.6275018,.6031142,.7767015,.7376202,.8824,.8383935,1.082329,1.019903,.5222377,.5148604,.6555751,.6439776,1.001314,.9674471,1.49373,1.423736,55199,49665,34643,12547,56077,52031,30865,10837
700,"Spartanburg",354533,45,"South Carolina","SC",81.38117,82.25587,83.92358,84.49867,85.50213,85.89187,88.08351,88.34415,73.70592,74.68555,79.19054,79.84171,81.77335,82.20933,84.27146,84.61806,.3021564,.297549,.3528859,.3404006,.4167463,.4006852,.4895783,.4673637,.2269168,.2393441,.2953746,.2904724,.3902802,.3827842,.5242004,.5088499,276821,250094,215516,143106,246079,252571,207870,132603
