cz,czname,pop2000,stateabbrv,year,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
302,"Knoxville",727600,"TN",2001,82.98228,83.36636,88.61246,88.77601,87.40879,87.70335,87.50989,87.71755,76.08514,76.58252,76.72002,77.19232,85.63908,85.92851,83.7939,84.14465,1.749661,1.683318,1.4425,1.375209,2.276054,2.166414,2.562958,2.465065,1.432574,1.409027,1.789055,1.787844,1.914151,1.836671,3.475628,3.410536,28071,28372,26967,23179,26404,28119,26036,21896
302,"Knoxville",727600,"TN",2002,81.1434,81.59341,83.17051,83.57214,85.22009,85.61388,87.2135,87.43512,76.83936,77.31999,79.93599,80.36062,82.63468,83.05601,88.36873,88.50229,2.00767,1.950286,2.250292,2.166291,2.544048,2.43562,2.743933,2.638541,1.362097,1.330187,1.963581,1.922602,2.332937,2.262546,1.858791,1.785467,29345,29447,27679,22861,27378,28942,26493,21661
302,"Knoxville",727600,"TN",2003,81.69358,82.10624,84.54255,84.89568,86.97212,87.29244,88.98038,89.16563,76.28471,76.784,82.35697,82.71089,80.94188,81.41277,87.33265,87.51677,1.605424,1.546581,2.097812,2.011231,2.442983,2.332319,3.134892,3.023954,1.350358,1.322789,1.749592,1.690994,2.219898,2.173513,2.150239,2.071876,30108,29932,28068,23397,27808,29120,27111,22188
302,"Knoxville",727600,"TN",2004,84.09936,84.4222,84.57712,84.8875,79.86969,80.45191,89.31336,89.43282,74.53781,75.07301,80.18617,80.58907,84.80379,85.10821,88.80402,88.92293,1.446555,1.390239,1.736527,1.661568,2.644123,2.624424,2.109596,2.025852,1.356051,1.348987,1.64179,1.594977,1.612111,1.544574,1.669096,1.602614,30264,30250,28388,24527,27793,29142,27725,23317
302,"Knoxville",727600,"TN",2005,83.37306,83.74638,85.71715,86.02032,91.39397,91.46164,89.36107,89.50886,75.41032,75.95202,76.33009,76.81902,85.08602,85.42942,88.62017,88.73976,1.649348,1.586622,1.94439,1.856186,.879142,.8342861,2.514893,2.420128,1.30677,1.290308,1.674644,1.67677,1.961651,1.881532,1.474286,1.412829,30222,30453,29031,25165,27933,29082,28289,23870
302,"Knoxville",727600,"TN",2006,84.19881,84.535,84.14113,84.5159,89.05164,89.2451,87.5103,87.71183,73.24677,73.82327,78.03583,78.51884,84.83755,85.20684,85.16394,85.47768,1.387885,1.329631,2.072443,1.991057,1.587242,1.501715,2.589953,2.493563,1.169015,1.16606,1.777826,1.759846,2.141848,2.057158,2.774403,2.687331,30469,30694,29692,25592,28003,29202,28751,24311
302,"Knoxville",727600,"TN",2007,84.80187,85.12611,86.36864,86.62326,87.01118,87.33414,91.70931,91.74175,73.77921,74.36026,79.74993,80.19373,87.59885,87.7918,86.38065,86.64378,1.345124,1.28859,1.615305,1.539984,2.226798,2.117691,1.231825,1.185876,1.230398,1.231171,1.680305,1.638996,1.129304,1.070293,2.535566,2.442409,31061,31653,30019,25773,28614,30053,28972,24488
302,"Knoxville",727600,"TN",2008,83.99476,84.34856,86.04851,86.29243,90.08469,90.24914,90.67995,90.75948,74.62184,75.19799,77.1918,77.68917,86.77193,87.0661,85.17142,85.45797,1.383662,1.325831,1.33326,1.272445,1.496724,1.414959,1.751535,1.68406,1.231564,1.220797,1.662549,1.648667,1.835227,1.74882,2.314011,2.235251,31301,31977,30590,26065,29018,30468,29405,24751
302,"Knoxville",727600,"TN",2009,78.74757,79.317,87.10072,87.34414,87.84563,88.09903,91.13645,91.19672,72.38843,72.97475,77.72726,78.22106,82.27364,82.75002,86.92389,87.14101,1.545035,1.506212,1.503528,1.42795,1.547598,1.462306,1.495701,1.434195,.9728641,.9898586,1.531347,1.509081,2.014332,1.948552,1.918473,1.840132,32785,32809,31582,26448,30708,31287,30275,24958
302,"Knoxville",727600,"TN",2010,81.11481,81.60028,87.33601,87.57025,86.6395,86.9893,88.0173,88.19331,74.8662,75.44814,81.27758,81.66998,84.27974,84.6934,90.01101,90.10126,1.483768,1.422869,1.477891,1.407105,2.128792,2.024417,2.355814,2.264824,1.13545,1.122288,1.483126,1.433475,2.035065,1.951623,1.273344,1.212846,32284,32477,31325,26311,30107,30848,30027,24635
