gnd,pctile,year,count,hh_inc,le_agg,le_raceadj,sd_le_agg,sd_le_raceadj
"F",1,2001,398740,499.1094,79.68207,79.89346,.3928378,.3852398
"F",1,2002,411159,541.3069,79.18359,79.41062,.3539808,.3468173
"F",1,2003,420298,529.1391,79.36441,79.57217,.3647805,.3590969
"F",1,2004,427728,499.2995,79.89841,80.09248,.3520185,.3479916
"F",1,2005,433665,474.1454,80.2836,80.46593,.3346116,.3309857
"F",1,2006,438605,446.6483,79.51385,79.70161,.3397771,.3366041
"F",1,2007,442887,441.6107,79.67442,79.85167,.3635733,.3579775
"F",1,2008,448004,449.4591,79.22314,79.41482,.3314074,.3259721
"F",1,2009,458014,171.33,74.22916,74.53416,.299174,.2949567
"F",1,2010,458386,402.8632,78.91873,79.12497,.3346845,.3283564
"F",1,2011,457070,434.7364,79.55031,79.73189,.3462143,.3420953
"F",1,2012,457885,452.1725,78.56763,78.75976,.3483111,.3434626
"F",1,2013,455050,411.0872,79.29933,79.46487,.3510817,.3481453
"F",1,2014,438263,327.1088,79.67635,79.82413,.3527927,.3487298
"F",2,2001,399174,2063.011,80.96684,81.12506,.4276827,.4194371
"F",2,2002,411937,2215.85,80.95918,81.1179,.3894281,.3823846
"F",2,2003,420922,2180.088,80.25043,80.40862,.418164,.4096448
"F",2,2004,428453,2102.182,81.40462,81.53767,.3678775,.362101
"F",2,2005,434236,2003.293,81.22125,81.35191,.3805998,.3773904
"F",2,2006,439182,1889,80.7839,80.92012,.3859384,.3802359
"F",2,2007,443493,1895.38,81.59679,81.71525,.3788974,.3727623
"F",2,2008,448766,1932.037,80.9407,81.07443,.3759212,.3710302
"F",2,2009,459084,1386.146,79.76273,79.92491,.3705576,.3637096
"F",2,2010,459267,1858.431,79.94894,80.11848,.3796797,.3750744
"F",2,2011,457634,1998.621,81.53777,81.66377,.3563564,.3522867
"F",2,2012,458241,2077.615,80.70934,80.84451,.3890294,.3829426
"F",2,2013,455623,1892.213,80.89028,81.00986,.3613072,.3552616
"F",2,2014,438723,1517.914,80.5501,80.67422,.4105823,.4030066
"F",3,2001,399396,3938.145,81.22656,81.35473,.4585858,.4494421
"F",3,2002,412281,4176.957,80.76946,80.90334,.4026507,.392916
